chr	pos	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN811300.1	2136258	0.46	0.43	0.67	0.74	0.70	0.23	0.75	0.61
KN811301.1	690062	0.76	0.61	0.64	0.76	0.49	0.58	0.68	0.75
KN811301.1	690108	0.60	0.56	0.61	0.40	0.47	0.65	0.43	0.68
KN811303.1	273087	0.57	0.78	0.68	0.87	0.61	0.67	0.84	0.20
KN811303.1	2151816	1.00	0.88	0.88	1.00	1.00	0.73	0.51	1.00
KN811304.1	393934	1.00	1.00	0.98	0.90	0.87	1.00	1.00	1.00
KN811304.1	393943	1.00	1.00	1.00	0.85	1.00	1.00	0.77	1.00
KN811304.1	393945	1.00	1.00	1.00	0.53	1.00	1.00	0.94	1.00
KN811304.1	393951	0.72	0.26	1.00	0.84	0.87	1.00	1.00	1.00
KN811304.1	393953	0.72	1.00	0.98	0.75	0.83	1.00	1.00	0.99
KN811304.1	650581	0.90	0.96	0.98	0.95	0.96	0.92	0.95	0.70
KN811304.1	856190	0.82	0.89	0.81	0.94	0.97	0.97	0.97	1.00
KN811304.1	2709045	0.67	0.93	0.60	0.90	0.89	0.91	0.85	0.49
KN811304.1	2736889	1.00	0.89	0.35	1.00	0.93	1.00	0.67	1.00
KN811309.1	68083	0.23	0.97	1.00	1.00	0.80	1.00	1.00	1.00
KN811309.1	230561	0.95	0.94	0.92	1.00	0.96	0.95	1.00	0.84
KN811310.1	2490241	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN811310.1	2490243	0.71	0.70	1.00	0.89	0.86	1.00	1.00	1.00
KN811310.1	2490249	1.00	1.00	1.00	0.50	1.00	1.00	0.94	1.00
KN811310.1	2490251	1.00	1.00	1.00	0.93	1.00	1.00	0.79	1.00
KN811310.1	2490260	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN811311.1	1965766	0.97	0.83	0.97	0.69	0.65	0.90	0.68	1.00
KN811312.1	1159386	0.47	0.85	0.66	0.69	0.25	0.32	0.92	0.45
KN811315.1	2607427	0.90	0.96	1.00	0.90	0.92	0.93	0.96	1.00
KN811315.1	2607432	0.82	0.94	0.86	0.74	0.94	0.44	0.84	0.74
KN811316.1	29633	0.88	0.76	0.89	0.75	0.91	1.00	0.53	1.00
KN811323.1	608929	0.62	0.82	0.88	0.80	0.87	1.00	0.92	0.77
KN811323.1	608936	0.77	0.82	0.75	0.88	0.86	0.88	0.88	0.54
KN811323.1	1295123	0.41	0.96	0.83	0.89	0.86	1.00	0.90	0.37
KN811323.1	1295137	0.41	0.84	0.59	0.93	0.59	1.00	0.85	0.38
KN811323.1	1513986	0.23	0.17	0.35	0.62	0.45	0.36	0.38	0.10
KN811326.1	2017041	1.00	0.10	0.99	0.91	1.00	1.00	0.98	1.00
KN811326.1	2251756	0.50	0.58	1.00	0.58	0.29	0.41	0.83	0.70
KN811329.1	1954173	1.00	0.95	0.99	0.75	0.98	1.00	1.00	1.00
KN811329.1	1954179	0.48	0.98	0.99	0.75	1.00	1.00	1.00	1.00
KN811329.1	1954206	1.00	0.36	0.91	0.74	1.00	0.98	1.00	1.00
KN811335.1	552319	0.10	0.15	0.33	0.50	0.35	0.12	0.65	0.31
KN811336.1	182573	0.46	0.64	0.58	0.57	0.61	0.81	0.69	0.16
KN811336.1	182580	0.43	0.79	0.76	0.76	0.74	0.75	0.59	1.00
KN811336.1	182586	0.57	0.71	0.58	0.81	0.74	0.81	0.75	0.95
KN811336.1	182715	0.38	0.12	0.44	0.37	0.42	0.25	0.41	0.16
KN811336.1	182747	0.68	0.57	0.82	0.78	0.86	0.85	0.86	0.39
KN811336.1	1405147	0.95	0.83	0.97	0.93	0.94	0.95	0.88	0.59
KN811336.1	1469736	0.77	0.74	0.74	0.92	0.81	0.24	0.74	0.77
KN811337.1	952726	1.00	0.97	1.00	1.00	1.00	0.80	0.95	1.00
KN811339.1	1043855	0.54	0.57	0.84	0.93	0.65	0.94	0.97	0.90
KN811340.1	4634925	1.00	0.20	0.98	0.91	0.99	1.00	0.98	1.00
KN811341.1	21251	0.74	0.39	0.95	0.28	0.80	1.00	0.98	0.25
KN811341.1	21282	0.29	0.39	0.85	0.46	0.89	1.00	0.74	0.29
KN811341.1	21295	0.24	0.94	0.90	0.39	0.89	1.00	0.89	0.36
KN811341.1	1855800	0.89	0.87	0.69	0.81	0.97	0.91	0.88	0.40
KN811342.1	47233	0.97	0.83	0.94	0.85	0.66	0.90	0.69	1.00
KN811343.1	2133553	0.40	0.26	0.35	0.30	0.19	0.17	0.44	0.33
KN811343.1	2152667	0.57	1.00	1.00	0.93	1.00	1.00	1.00	1.00
KN811347.1	513084	0.68	1.00	0.97	0.93	1.00	0.94	0.83	1.00
KN811347.1	1277040	0.65	0.40	0.47	0.89	0.64	0.68	0.82	0.62
KN811347.1	1867090	0.79	0.92	0.97	0.76	0.91	0.70	0.82	0.50
KN811347.1	1867096	0.73	0.80	0.95	0.93	0.92	0.91	0.86	0.50
KN811347.1	1867101	0.85	0.93	0.93	0.89	0.90	0.90	0.82	0.50
KN811347.1	1867103	0.97	0.77	0.70	0.88	0.87	0.90	0.81	0.50
KN811347.1	1867135	0.59	0.86	0.85	0.83	0.73	0.50	0.64	0.50
KN811347.1	1867185	0.55	0.74	0.43	0.90	0.71	0.64	0.54	0.15
KN811352.1	120619	0.28	0.16	0.59	0.62	0.49	0.96	0.87	0.83
KN811352.1	1887421	0.31	0.73	0.34	0.39	0.32	0.73	0.14	1.00
KN811353.1	1290180	0.89	0.90	0.86	0.69	0.43	0.20	0.79	0.45
KN811354.1	1361315	0.96	0.72	0.85	0.97	0.83	1.00	0.68	1.00
KN811354.1	1361319	0.61	0.78	0.74	0.50	0.90	0.89	0.74	0.93
KN811355.1	1041466	0.60	0.53	0.55	0.67	0.24	0.53	0.30	0.67
KN811355.1	1041468	0.74	0.77	0.83	0.81	0.84	0.89	0.94	0.88
KN811356.1	1077299	1.00	0.92	0.77	0.69	1.00	0.49	0.65	0.98
KN811359.1	1838267	0.10	0.15	0.33	0.50	0.35	0.12	0.64	0.31
KN811360.1	1552885	0.82	0.88	0.94	0.88	1.00	0.69	0.65	1.00
KN811360.1	1552920	0.82	0.59	0.56	0.80	1.00	0.92	0.78	1.00
KN811362.1	853967	0.20	0.75	0.58	0.50	0.87	0.66	0.84	0.40
KN811363.1	1054817	1.00	0.98	0.72	0.96	1.00	1.00	1.00	1.00
KN811363.1	1054963	0.65	0.87	0.55	0.75	0.55	0.70	0.39	1.00
KN811365.1	166430	1.00	0.96	1.00	1.00	1.00	0.80	0.95	1.00
KN811366.1	1182416	0.23	0.67	0.74	0.92	0.74	0.43	0.53	0.73
KN811369.1	671502	0.97	0.83	0.96	0.85	0.59	0.90	0.66	1.00
KN811369.1	1809234	0.90	0.98	0.42	0.52	0.86	0.92	0.85	1.00
KN811372.1	3641897	0.53	0.61	0.75	1.00	0.38	0.23	0.46	1.00
KN811372.1	3641900	0.82	0.61	0.48	0.62	0.35	0.13	0.39	1.00
KN811372.1	3641911	0.42	0.37	0.63	0.56	0.22	0.15	0.29	1.00
KN811372.1	4262846	0.73	0.98	1.00	0.85	0.96	0.69	0.92	0.90
KN811372.1	4605175	1.00	0.98	1.00	0.98	0.87	0.91	0.94	1.00
KN811374.1	258115	0.97	0.83	0.96	0.82	0.66	0.90	0.69	1.00
KN811376.1	176970	1.00	0.92	0.94	0.95	0.97	0.85	0.97	0.69
KN811376.1	176978	0.79	0.83	0.97	0.96	1.00	0.98	0.95	0.85
KN811377.1	805606	1.00	1.00	1.00	0.99	0.95	1.00	0.98	0.99
KN811377.1	805609	0.96	0.97	1.00	0.99	0.95	1.00	0.98	0.99
KN811377.1	805622	1.00	0.97	0.71	0.49	0.15	1.00	0.98	0.96
KN811377.1	805644	1.00	0.95	0.99	0.97	0.46	1.00	0.98	0.96
KN811377.1	1051459	1.00	1.00	0.97	1.00	0.21	1.00	1.00	0.97
KN811378.1	352011	1.00	1.00	1.00	1.00	0.63	1.00	1.00	1.00
KN811378.1	352042	1.00	1.00	1.00	1.00	0.63	0.96	0.98	1.00
KN811379.1	68028	1.00	0.68	0.33	0.74	0.86	0.36	0.93	1.00
KN811379.1	68044	1.00	0.83	0.42	0.74	0.95	0.89	0.95	1.00
KN811379.1	68073	1.00	0.63	0.89	0.67	0.91	0.36	0.95	1.00
KN811379.1	119921	0.46	0.86	0.61	0.93	0.89	0.93	0.70	0.15
KN811379.1	1587652	1.00	0.43	0.47	1.00	0.81	1.00	0.90	1.00
KN811380.1	192073	0.86	0.11	0.31	0.35	0.27	0.29	0.17	0.81
KN811380.1	1738600	0.22	0.15	0.12	0.35	0.18	0.50	0.19	0.20
KN811383.1	1304479	0.51	0.23	0.22	0.71	0.44	1.00	0.58	1.00
KN811386.1	1687633	0.87	0.54	0.49	0.45	0.25	0.58	0.46	0.94
KN811387.1	1550690	0.18	0.36	0.16	0.36	0.20	0.29	0.48	0.10
KN811390.1	160097	1.00	0.92	0.96	0.89	0.63	1.00	0.86	0.58
KN811394.1	570840	0.17	0.85	0.90	0.47	0.47	0.64	0.54	0.60
KN811395.1	714552	1.00	0.43	0.47	1.00	0.81	1.00	0.90	1.00
KN811395.1	920682	0.83	0.76	0.97	0.95	0.72	0.92	0.88	0.95
KN811395.1	920688	0.73	0.73	0.85	0.92	0.79	0.85	0.91	0.90
KN811399.1	975346	0.77	0.74	0.72	0.92	0.80	0.43	0.74	0.77
KN811400.1	82516	0.50	0.72	0.46	0.71	0.67	0.71	0.72	0.72
KN811400.1	939772	0.44	0.91	0.54	0.68	0.83	0.97	0.87	0.43
KN811400.1	939786	0.44	0.93	0.80	0.83	0.92	1.00	0.94	0.43
KN811402.1	214752	0.38	0.42	0.63	0.22	0.80	0.52	0.66	0.31
KN811402.1	214776	0.77	0.92	0.97	0.85	0.91	0.79	0.86	0.50
KN811402.1	439547	0.92	0.96	0.95	1.00	0.98	0.98	0.92	0.66
KN811407.1	1391878	0.60	0.75	0.55	1.00	1.00	0.69	0.68	1.00
KN811407.1	1391884	0.38	0.71	1.00	1.00	1.00	0.74	0.97	1.00
KN811407.1	1391888	0.36	0.25	0.98	0.93	0.33	0.51	0.66	1.00
KN811408.1	1565485	0.86	0.12	0.36	0.27	0.36	0.28	0.30	0.81
KN811409.1	810666	0.37	0.22	0.24	0.20	0.24	0.72	0.72	0.85
KN811409.1	810680	0.31	0.43	0.40	0.17	0.24	0.26	0.51	0.59
KN811409.1	810701	0.47	0.19	0.41	0.35	0.25	0.11	0.60	0.91
KN811409.1	810706	0.47	0.13	0.72	0.14	0.23	0.12	0.61	0.90
KN811409.1	1188697	0.19	0.23	0.31	0.42	0.21	0.11	0.24	0.86
KN811409.1	1591922	0.62	0.77	0.56	0.77	0.69	0.81	0.75	0.95
KN811409.1	1591928	0.42	0.85	0.70	0.76	0.74	0.69	0.57	1.00
KN811410.1	792621	0.85	0.93	0.93	0.94	0.91	0.45	0.83	0.83
KN811411.1	1251879	0.70	0.96	0.87	0.97	0.85	0.90	0.82	1.00
KN811411.1	1251910	0.90	0.88	0.82	0.93	0.90	0.80	0.92	1.00
KN811412.1	63173	0.68	0.88	0.99	0.91	0.80	0.23	0.44	0.98
KN811412.1	421282	1.00	1.00	1.00	1.00	0.92	0.87	0.71	1.00
KN811414.1	1136322	0.90	0.93	0.95	0.97	0.90	0.96	0.90	0.53
KN811414.1	1136325	0.81	0.91	0.94	0.96	0.90	0.96	0.90	0.53
KN811414.1	1136338	0.67	0.26	0.35	0.90	0.66	0.93	0.87	0.38
KN811414.1	1506024	0.39	0.73	0.94	0.97	0.67	0.96	0.84	1.00
KN811415.1	67073	0.12	0.85	0.89	0.98	1.00	0.69	0.97	0.11
KN811415.1	67081	0.19	0.92	0.95	0.96	1.00	0.69	0.58	1.00
KN811415.1	67090	0.12	0.85	0.95	0.96	1.00	1.00	1.00	1.00
KN811415.1	465859	0.23	0.71	0.63	0.53	0.51	0.67	0.95	0.85
KN811417.1	740093	0.76	1.00	1.00	0.51	1.00	1.00	0.96	0.30
KN811426.1	1160562	0.69	0.86	0.65	0.92	0.82	0.43	0.68	0.80
KN811427.1	1113354	0.56	0.93	0.90	0.98	0.97	0.83	0.71	0.73
KN811428.1	1267951	0.90	0.94	0.88	1.00	0.86	1.00	0.87	1.00
KN811428.1	1267961	0.20	0.94	0.86	0.88	0.74	1.00	0.89	1.00
KN811428.1	1267997	0.91	0.72	0.68	0.19	0.83	0.89	0.41	1.00
KN811430.1	1282421	0.77	0.91	0.84	0.92	0.89	0.85	0.89	0.63
KN811432.1	1410385	0.98	0.79	1.00	0.91	1.00	1.00	0.54	0.92
KN811435.1	379757	0.50	0.67	0.41	0.97	0.70	0.96	0.79	0.67
KN811439.1	459307	1.00	0.95	0.98	0.88	0.98	1.00	0.98	1.00
KN811442.1	700723	0.85	0.93	0.93	0.94	0.91	0.45	0.83	0.69
KN811443.1	280888	0.79	0.82	0.85	0.94	1.00	0.91	0.95	0.67
KN811446.1	32769	0.97	0.97	0.82	0.59	0.76	0.65	0.78	0.10
KN811447.1	187493	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN811447.1	187495	0.71	0.70	1.00	0.89	0.86	1.00	1.00	1.00
KN811447.1	187501	1.00	1.00	1.00	0.50	1.00	1.00	0.94	1.00
KN811447.1	187503	1.00	1.00	1.00	0.93	1.00	1.00	0.79	1.00
KN811447.1	187512	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN811450.1	1517515	0.27	0.63	0.51	0.51	0.36	0.65	0.38	0.94
KN811454.1	502347	0.97	0.10	0.96	1.00	1.00	1.00	0.94	1.00
KN811461.1	751055	1.00	0.17	0.55	1.00	0.98	1.00	0.96	1.00
KN811467.1	76533	1.00	1.00	1.00	1.00	1.00	1.00	0.56	1.00
KN811467.1	577137	0.84	0.60	0.78	0.91	0.78	0.40	0.82	1.00
KN811468.1	600997	0.68	0.52	0.81	0.77	0.60	0.89	0.80	0.41
KN811468.1	601010	0.84	0.83	0.90	0.94	0.90	0.96	0.85	0.53
KN811468.1	601013	0.95	0.89	0.93	0.94	0.90	0.96	0.85	0.53
KN811470.1	149951	0.97	0.81	0.97	0.69	0.64	0.90	0.68	1.00
KN811470.1	561631	0.89	0.90	0.87	1.00	0.96	0.97	0.93	0.96
KN811471.1	850941	0.11	0.41	0.35	0.73	0.15	0.27	0.31	0.20
KN811478.1	768562	0.32	0.27	0.33	0.61	0.48	0.26	0.49	0.60
KN811483.1	1216747	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN811483.1	1216749	0.71	0.71	1.00	0.89	0.86	1.00	1.00	1.00
KN811483.1	1216755	1.00	1.00	1.00	0.50	1.00	1.00	0.77	1.00
KN811483.1	1216757	1.00	1.00	1.00	0.93	1.00	1.00	0.82	1.00
KN811483.1	1216766	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN811484.1	890150	0.23	0.97	1.00	1.00	0.80	1.00	1.00	1.00
KN811487.1	560175	1.00	1.00	0.89	0.21	0.79	0.92	0.68	1.00
KN811487.1	560207	0.97	0.57	0.81	0.97	0.91	0.92	0.67	1.00
KN811487.1	560214	0.13	0.77	0.81	0.96	1.00	0.92	0.67	1.00
KN811487.1	560220	1.00	0.43	0.85	1.00	1.00	0.92	0.90	1.00
KN811490.1	1049411	0.88	0.73	1.00	0.97	0.91	1.00	1.00	1.00
KN811495.1	62133	0.98	0.83	0.96	0.85	0.63	0.90	0.68	1.00
KN811495.1	1090114	0.86	0.94	0.93	0.71	0.91	0.45	0.88	0.69
KN811496.1	598314	0.70	0.32	0.50	0.53	0.61	0.36	0.30	0.15
KN811497.1	292470	0.85	0.86	0.93	0.70	0.94	0.45	0.82	0.81
KN811497.1	498813	0.64	0.53	0.69	0.80	0.51	0.59	0.50	0.94
KN811508.1	749052	0.49	0.59	0.41	0.85	0.12	0.67	0.76	1.00
KN811512.1	453103	1.00	1.00	1.00	1.00	0.73	1.00	1.00	1.00
KN811513.1	1087078	0.42	0.44	0.42	0.61	0.26	0.46	0.94	0.10
KN811516.1	140139	0.82	0.37	0.90	0.50	0.75	0.88	0.33	0.62
KN811525.1	706354	0.85	0.86	0.93	0.70	0.83	0.45	0.82	0.83
KN811526.1	741848	0.89	0.90	0.93	0.95	0.93	0.62	0.89	0.70
KN811526.1	796165	1.00	0.96	0.99	0.78	0.92	1.00	1.00	1.00
KN811526.1	796171	0.48	0.99	0.99	0.78	1.00	1.00	1.00	1.00
KN811526.1	796198	1.00	0.37	0.91	0.77	1.00	0.98	1.00	1.00
KN811528.1	871003	0.33	0.10	0.39	0.36	0.22	0.55	0.34	0.38
KN811534.1	630765	0.87	0.91	0.99	0.87	0.71	0.25	0.91	0.99
KN811534.1	630768	0.71	0.91	0.98	0.83	0.85	1.00	1.00	1.00
KN811534.1	630770	0.71	0.41	1.00	0.90	0.95	1.00	1.00	1.00
KN811534.1	630776	1.00	0.90	1.00	0.53	0.53	1.00	0.57	1.00
KN811534.1	630778	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00
KN811534.1	630787	1.00	1.00	0.96	1.00	0.95	1.00	0.62	1.00
KN811538.1	522717	0.80	0.89	1.00	0.82	0.89	0.83	0.96	0.55
KN811539.1	686918	0.71	0.58	0.64	0.19	0.70	0.36	0.53	0.13
KN811540.1	733137	1.00	1.00	0.99	0.57	0.65	1.00	1.00	1.00
KN811542.1	87350	1.00	0.93	0.99	0.76	0.93	0.95	0.95	1.00
KN811542.1	87356	1.00	0.96	0.99	0.76	1.00	0.95	0.95	1.00
KN811542.1	87383	1.00	0.36	0.97	0.73	1.00	0.95	0.88	1.00
KN811542.1	381339	1.00	0.80	0.98	0.89	0.99	1.00	0.98	1.00
KN811546.1	1146061	0.97	0.83	0.96	0.86	0.62	0.90	0.70	1.00
KN811546.1	4131778	0.60	0.97	0.98	1.00	0.98	0.25	0.86	0.97
KN811547.1	805569	0.63	0.88	0.56	0.94	0.80	0.62	0.75	0.81
KN811547.1	1352178	1.00	1.00	0.44	1.00	0.98	1.00	0.27	1.00
KN811553.1	36379	0.73	0.43	0.69	0.96	0.54	0.47	0.64	0.45
KN811558.1	316374	0.73	0.62	0.84	0.90	0.78	0.85	0.91	0.94
KN811567.1	376693	0.85	0.93	0.93	0.94	0.91	0.45	0.88	0.83
KN811572.1	52618	0.30	0.40	0.63	0.56	0.72	0.67	0.60	0.17
KN811574.1	806677	0.68	0.20	0.85	0.95	1.00	0.61	0.66	1.00
KN811574.1	806712	0.68	1.00	0.96	0.90	1.00	0.94	0.77	1.00
KN811578.1	827839	0.55	0.13	0.88	0.37	0.71	1.00	0.32	0.71
KN811580.1	436485	0.69	0.24	0.34	0.55	0.37	0.79	0.39	0.17
KN811583.1	811915	1.00	1.00	0.63	0.94	0.77	0.96	0.96	0.83
KN811601.1	369031	0.64	1.00	1.00	1.00	1.00	0.60	0.89	1.00
KN811601.1	369036	0.92	0.98	1.00	1.00	0.93	0.55	0.77	1.00
KN811602.1	792101	0.96	1.00	0.98	1.00	1.00	1.00	0.95	1.00
KN811604.1	628716	0.21	0.94	0.57	0.90	0.93	0.59	0.83	0.86
KN811604.1	658336	1.00	0.87	1.00	0.79	0.51	1.00	0.43	1.00
