chr	pos	N_20-N4	N_20-N2	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_20-S2
KN806757.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806757.1:1:43361:1 REF	2368	0.88	0.91	0.94	0.80	0.79	0.75	1.00
KN806774.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806774.1:1:83249:1 REF	24331	0.86	0.50	0.85	0.88	0.72	0.86	0.85
KN806796.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806796.1:1:48032:1 REF	42416	0.50	0.41	0.55	0.25	0.67	0.71	1.00
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	33396	0.95	1.00	1.00	0.79	1.00	0.97	0.64
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24186	0.86	0.65	0.95	0.89	0.79	0.88	0.55
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24188	0.86	0.70	0.95	0.91	0.83	0.84	0.55
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24193	0.86	0.85	0.89	0.83	0.79	0.70	0.27
KN807084.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807084.1:1:28998:1 REF	748	0.91	0.91	0.53	0.93	0.82	0.83	0.95
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20793	0.63	0.48	0.67	0.66	0.70	0.68	0.47
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20835	0.87	0.93	0.97	0.95	0.93	0.98	0.61
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20843	0.87	0.73	0.88	0.86	0.83	0.91	0.44
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21189	0.97	0.28	0.45	0.83	0.91	0.69	0.18
KN807290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807290.1:1:24974:1 REF	7512	0.86	0.55	0.75	0.92	0.77	0.77	0.52
KN807329.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807329.1:1:23263:1 REF	5968	0.84	0.27	0.94	0.72	0.78	0.80	0.45
KN807329.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807329.1:1:23263:1 REF	5972	0.76	0.97	0.75	0.83	0.84	0.85	0.67
KN807331.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807331.1:1:24628:1 REF	2176	0.68	0.46	0.93	0.50	0.82	0.79	0.64
KN807367.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807367.1:1:23623:1 REF	8279	0.82	0.21	0.31	0.87	1.00	0.70	0.48
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16013	0.96	0.84	1.00	0.97	0.40	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16040	0.56	1.00	1.00	0.97	0.42	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16360	0.93	0.88	1.00	0.95	0.90	0.49	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16386	0.96	1.00	1.00	0.96	0.88	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16392	0.97	0.81	1.00	0.88	0.89	0.49	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16405	0.96	1.00	1.00	0.92	0.96	0.98	1.00
KN807522.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807522.1:1:18759:1 REF	10188	0.41	0.39	0.13	0.77	0.61	0.57	1.00
KN807536.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807536.1:1:18794:1 REF	18749	0.62	0.67	0.74	0.82	0.72	0.73	0.35
KN807558.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807558.1:1:18722:1 REF	9181	0.90	1.00	0.85	0.88	0.31	0.79	0.75
KN807617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807617.1:1:18478:1 REF	7626	0.81	1.00	1.00	0.82	0.98	0.57	1.00
KN807690.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807690.1:1:19022:1 REF	14726	0.12	0.28	0.38	0.50	0.36	0.62	0.83
KN807767.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807767.1:1:17359:1 REF	6770	0.60	0.50	0.58	0.62	0.59	0.65	0.31
KN807928.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807928.1:1:15003:1 REF	12709	0.94	0.90	1.00	0.82	0.90	0.52	0.81
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3196	0.85	0.71	0.76	0.81	0.74	0.77	0.50
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	48	0.95	0.95	0.87	0.71	0.93	0.89	0.82
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	50	0.88	0.80	0.87	0.94	0.97	0.93	0.91
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	55	0.90	0.90	0.93	0.85	0.91	0.96	0.91
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	5997	0.93	0.84	0.91	0.96	0.91	0.91	0.82
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6002	0.93	0.79	0.91	0.96	0.91	0.86	0.82
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6004	0.90	0.95	0.73	0.91	0.91	0.89	0.64
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6036	0.81	0.67	0.83	0.81	0.67	0.80	0.42
KN808427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808427.1:1:11319:1 REF	1336	0.21	0.12	0.23	0.38	0.25	0.17	0.10
KN808499.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808499.1:1:14246:1 REF	5425	0.88	0.95	0.77	0.96	0.82	0.94	0.94
KN808528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808528.1:1:15034:1 REF	4456	0.64	0.54	1.00	0.95	0.95	0.82	1.00
KN808562.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808562.1:1:48249:1 REF	44353	0.44	0.23	0.16	0.57	0.58	0.73	0.20
KN808764.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808764.1:1:9688:1 REF	7649	0.75	0.90	0.87	0.88	0.64	0.74	0.33
KN809025.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809025.1:1:8556:1 REF	6663	0.86	0.88	0.87	0.85	0.83	0.83	0.64
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1224	0.93	0.82	1.00	0.88	0.70	0.65	1.00
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1235	0.91	0.71	0.91	0.84	0.73	0.68	0.22
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1237	0.94	0.71	0.91	0.72	0.96	0.92	0.78
KN809217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809217.1:1:8054:1 REF	3862	0.10	0.13	0.50	0.44	0.49	0.35	0.13
KN809225.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809225.1:1:9808:1 REF	9169	0.70	1.00	0.93	0.94	0.90	0.82	0.53
KN809291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809291.1:1:8562:1 REF	8503	0.95	0.90	0.69	0.75	0.73	0.81	0.13
KN809317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809317.1:1:7841:1 REF	7554	0.73	0.68	0.75	0.41	0.78	0.53	0.38
KN809941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809941.1:1:7889:1 REF	1607	0.64	0.67	0.74	0.77	0.72	0.73	0.35
KN810306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810306.1:1:5358:1 REF	2961	0.62	0.80	0.83	0.86	0.58	0.75	0.33
KN810347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810347.1:1:4356:1 REF	4132	0.84	0.81	0.73	0.92	0.83	0.84	0.70
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222356	0.88	0.91	0.87	0.97	0.97	0.94	1.00
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222369	0.74	0.92	1.00	0.97	0.76	0.91	0.89
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612195	0.54	0.37	0.79	0.61	0.88	0.66	0.53
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612200	0.57	0.27	0.79	0.60	0.94	0.64	0.53
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353020	0.56	0.56	0.48	0.81	0.67	0.60	0.30
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353072	0.48	0.19	0.69	0.23	0.51	0.35	0.33
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967249	0.14	0.13	0.93	1.00	1.00	1.00	1.00
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296839	0.89	0.86	0.92	0.95	0.90	0.94	0.75
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296859	0.98	0.93	0.95	0.92	0.90	0.93	0.60
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296869	0.91	0.76	0.78	0.78	0.60	0.52	0.30
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225248	0.98	0.70	1.00	0.82	0.48	0.84	0.56
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225254	0.80	0.70	1.00	0.91	0.56	0.77	0.56
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1329181	0.72	0.94	1.00	0.91	0.78	0.86	0.60
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1412439	0.97	1.00	1.00	1.00	0.65	0.91	0.98
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2931672	1.00	1.00	1.00	0.90	1.00	0.91	1.00
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2931677	0.86	0.94	0.87	0.92	0.96	0.65	1.00
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	1744169	0.22	0.21	0.15	0.56	0.51	0.70	0.20
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418889	0.90	0.95	1.00	0.96	0.10	0.92	0.19
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418895	0.90	0.95	1.00	0.84	0.78	0.90	0.19
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418900	0.90	1.00	1.00	0.84	0.74	0.96	0.19
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418902	0.85	0.29	1.00	0.84	0.74	0.75	0.19
KN811300.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811300.1:1:3014401:1 REF	1397050	0.72	0.18	0.92	1.00	1.00	1.00	1.00
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273169	0.83	0.73	1.00	0.85	0.90	0.87	1.00
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273171	0.85	1.00	1.00	0.94	0.92	0.95	1.00
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273176	0.96	0.73	0.78	0.95	0.94	0.98	1.00
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273182	0.94	1.00	1.00	0.93	0.94	0.88	1.00
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	1857482	0.44	0.40	0.20	0.19	0.39	0.14	0.12
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2709045	0.86	0.55	0.75	0.92	0.85	0.77	0.52
KN811309.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811309.1:1:2934820:1 REF	230561	0.97	0.91	0.98	0.96	1.00	0.99	0.96
KN811314.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811314.1:1:2634854:1 REF	1577773	0.47	0.87	1.00	0.66	0.98	0.92	1.00
KN811314.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811314.1:1:2634854:1 REF	1577780	0.39	0.87	1.00	0.72	0.96	0.88	1.00
KN811314.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811314.1:1:2634854:1 REF	1577793	0.67	0.80	1.00	0.47	0.86	0.77	1.00
KN811314.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811314.1:1:2634854:1 REF	1577812	0.62	0.67	1.00	0.97	0.92	0.85	0.95
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2607427	1.00	1.00	1.00	0.86	1.00	0.91	1.00
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2607432	0.87	0.92	0.87	0.85	0.93	0.65	0.97
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	1842659	0.97	0.20	0.73	0.94	0.81	0.97	0.50
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	374971	0.79	0.95	0.34	0.93	0.91	0.91	0.74
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	1049366	0.38	0.17	0.36	0.47	0.22	0.57	0.65
KN811326.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811326.1:1:2457536:1 REF	1193401	0.63	0.87	1.00	0.64	1.00	0.92	1.00
KN811326.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811326.1:1:2457536:1 REF	1193408	0.52	0.87	1.00	0.71	0.97	0.88	1.00
KN811326.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811326.1:1:2457536:1 REF	1193421	0.67	0.80	1.00	0.46	0.85	0.77	1.00
KN811326.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811326.1:1:2457536:1 REF	1193440	0.62	0.67	1.00	0.97	0.92	0.85	0.95
KN811330.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811330.1:1:2316506:1 REF	2282345	0.52	0.83	0.79	0.82	0.15	0.78	0.56
KN811330.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811330.1:1:2316506:1 REF	2282350	0.56	0.61	0.79	0.83	0.93	0.74	0.56
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182575	0.59	0.73	0.52	0.71	0.63	0.68	0.50
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182580	0.57	0.77	0.52	0.61	0.57	0.65	0.50
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182586	0.44	0.77	0.62	0.63	0.57	0.72	0.88
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182747	0.73	0.78	0.40	0.80	0.63	0.68	0.55
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2022128	0.84	0.89	0.75	0.90	0.83	0.85	0.79
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2022131	0.90	0.89	0.92	0.90	0.86	0.93	0.86
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057989	0.43	1.00	0.79	0.90	0.92	0.90	0.74
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057991	0.82	1.00	0.84	0.80	0.98	1.00	0.79
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2057996	0.54	1.00	0.79	0.94	0.90	0.94	0.68
KN811340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811340.1:1:5018176:1 REF	2058002	0.48	1.00	0.84	0.98	0.98	0.94	0.72
KN811341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811341.1:1:2319825:1 REF	1855800	0.74	0.97	1.00	0.97	0.76	0.93	0.89
KN811342.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811342.1:1:2276289:1 REF	1406663	0.68	0.90	1.00	0.93	0.51	0.86	1.00
KN811342.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811342.1:1:2276289:1 REF	1406684	0.42	0.60	0.75	0.88	0.89	0.82	0.91
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	704926	0.63	0.87	1.00	0.66	0.98	0.92	1.00
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	704933	0.52	0.87	1.00	0.72	0.95	0.88	1.00
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	704946	0.67	0.80	1.00	0.48	0.83	0.77	1.00
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	704965	0.62	0.67	0.95	0.96	0.90	0.85	0.95
KN811345.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811345.1:1:2151516:1 REF	1963215	0.40	0.29	0.10	0.25	0.25	0.57	0.29
KN811347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811347.1:1:2266372:1 REF	614519	0.85	1.00	0.92	0.54	0.86	1.00	1.00
KN811347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811347.1:1:2266372:1 REF	614528	0.87	1.00	1.00	0.66	0.93	0.29	1.00
KN811347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811347.1:1:2266372:1 REF	1024762	0.82	0.93	0.96	0.93	0.94	0.97	0.91
KN811348.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811348.1:1:2115447:1 REF	1416542	0.53	0.20	0.12	0.47	0.56	0.86	0.11
KN811352.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811352.1:1:2149905:1 REF	1211668	0.28	0.45	0.31	0.16	0.47	0.28	0.58
KN811354.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811354.1:1:2126579:1 REF	1361932	0.55	0.73	0.71	0.67	0.68	0.62	0.20
KN811354.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811354.1:1:2126579:1 REF	1361939	0.58	0.73	0.59	0.77	0.76	0.62	0.50
KN811355.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811355.1:1:2185618:1 REF	1041421	0.67	0.21	0.45	0.56	0.67	0.60	0.83
KN811355.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811355.1:1:2185618:1 REF	1041468	0.92	0.85	0.85	0.94	0.95	0.92	0.63
KN811356.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811356.1:1:2072284:1 REF	761438	0.62	0.65	1.00	0.95	0.98	0.69	1.00
KN811356.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811356.1:1:2072284:1 REF	1673857	0.62	0.82	0.85	0.86	0.60	0.77	0.33
KN811366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811366.1:1:2012531:1 REF	1182416	0.64	0.71	0.87	0.83	0.65	0.73	0.33
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	4333435	0.19	0.18	0.46	0.33	0.19	0.33	0.31
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	4263100	0.34	0.67	0.36	0.47	0.49	0.46	1.00
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	1316046	0.14	0.10	0.16	0.16	0.27	0.10	0.10
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	26268	0.72	0.60	0.16	0.63	0.41	0.73	0.18
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	199098	0.69	0.25	0.25	0.50	0.10	0.47	0.45
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1496917	0.70	0.16	0.75	0.47	0.10	0.45	0.64
KN811378.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811378.1:1:1871812:1 REF	749454	0.25	0.25	0.15	0.18	0.22	0.26	0.47
KN811384.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811384.1:1:1786201:1 REF	1003860	0.17	0.33	0.13	0.38	0.43	0.37	0.14
KN811384.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811384.1:1:1786201:1 REF	1091018	0.51	0.46	0.23	0.76	0.42	0.62	0.36
KN811384.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811384.1:1:1786201:1 REF	1091020	0.13	0.11	0.23	0.49	0.35	0.46	0.36
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	495071	0.14	0.33	0.32	0.23	0.22	0.12	0.35
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	1619247	0.88	0.89	0.94	0.38	0.44	0.28	0.92
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562727	0.80	0.94	1.00	0.61	0.78	0.93	0.95
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562731	0.86	0.97	1.00	0.62	0.80	0.93	0.60
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562740	0.81	0.91	0.68	0.62	0.80	0.87	0.95
KN811404.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811404.1:1:1645244:1 REF	723342	0.67	1.00	0.92	0.85	0.93	0.83	0.67
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	392105	0.95	0.88	0.57	0.58	0.67	0.84	0.46
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1814525	0.93	0.76	0.60	0.90	0.89	0.86	1.00
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	4022821	0.18	0.39	0.43	0.24	0.48	0.45	0.34
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1392246	0.37	0.45	0.82	0.56	0.57	0.47	0.70
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	592461	0.70	0.60	0.64	0.79	1.00	0.67	0.73
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591922	0.47	0.78	0.59	0.66	0.57	0.72	0.90
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591928	0.62	0.72	0.49	0.57	0.59	0.68	0.52
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	739995	1.00	1.00	0.67	1.00	0.44	1.00	1.00
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352787	0.69	0.93	0.96	0.68	0.64	0.71	1.00
