chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN805813.1	135751	0.88	1.00	1.00	1.00	0.81	0.93	0.87
KN805813.1	135756	0.95	0.73	0.77	0.93	0.81	1.00	0.92
KN805813.1	135762	0.95	1.00	1.00	0.80	0.96	1.00	0.95
KN805813.1	157880	0.84	0.93	0.88	0.62	0.73	0.67	0.75
KN805813.1	157887	0.75	0.93	0.83	0.54	0.73	0.70	0.87
KN805813.1	425053	0.89	0.90	0.74	0.70	0.86	0.82	0.87
KN805813.1	425085	0.89	0.90	0.67	0.29	0.88	0.94	0.86
KN805818.1	87444	0.98	0.92	0.98	0.87	1.00	1.00	1.00
KN805820.1	318141	0.90	0.98	1.00	0.81	0.91	0.92	0.86
KN805821.1	2434717	0.72	0.15	0.10	0.78	0.81	0.80	0.22
KN805821.1	3769644	0.94	0.44	0.58	0.95	0.73	0.85	0.73
KN805822.1	679700	0.46	0.10	0.15	0.88	0.44	0.64	0.60
KN805822.1	679734	0.73	0.57	1.00	0.86	0.77	0.91	0.85
KN805822.1	2580726	0.65	0.80	0.45	0.38	0.78	0.60	0.65
KN805822.1	2580767	0.66	0.93	0.93	0.23	0.80	0.79	0.80
KN805822.1	2986547	0.94	0.13	0.53	0.74	0.54	0.50	0.97
KN805823.1	175056	0.95	0.88	0.75	0.96	0.82	1.00	0.88
KN805823.1	175064	0.92	0.81	0.67	0.97	0.82	0.97	0.86
KN805823.1	278350	0.56	0.55	0.50	0.88	0.65	0.32	0.98
KN805827.1	127526	0.37	0.78	0.81	0.19	0.78	0.82	0.34
KN805827.1	127698	0.98	0.94	1.00	0.94	0.90	0.95	0.43
KN805827.1	127707	0.98	0.94	0.73	0.94	0.93	0.92	0.97
KN805828.1	332144	0.91	0.60	0.50	0.88	0.80	0.33	0.98
KN805828.1	375129	0.86	0.91	0.30	0.60	0.88	0.56	0.82
KN805829.1	104515	0.67	0.57	1.00	0.94	0.97	0.41	0.93
KN805829.1	104534	0.63	0.79	1.00	0.93	1.00	0.41	0.62
KN805829.1	104547	0.56	0.93	1.00	0.95	0.92	0.44	0.69
KN805829.1	104554	0.59	0.93	1.00	0.87	0.97	0.44	0.92
KN805830.1	13410	0.75	0.64	0.67	0.50	0.67	0.73	0.86
KN805831.1	145607	0.54	0.78	0.91	1.00	0.99	0.97	0.98
KN805837.1	27381	0.55	0.69	1.00	0.70	0.89	0.96	0.95
KN805837.1	53696	0.39	0.58	1.00	0.33	0.69	0.63	0.80
KN805847.1	78803	0.27	0.95	0.95	0.98	0.86	0.61	0.53
KN805847.1	78843	0.95	0.95	0.96	1.00	0.93	1.00	0.71
KN805847.1	124338	0.60	0.54	1.00	0.87	0.94	0.60	0.96
KN805847.1	124345	0.50	0.54	1.00	0.96	0.89	0.60	0.52
KN805847.1	124358	0.63	0.50	1.00	0.92	0.97	0.57	0.78
KN805847.1	124377	0.62	0.42	1.00	0.96	0.97	0.57	0.62
KN805850.1	160251	0.22	0.31	0.31	0.23	0.34	0.43	0.19
KN805850.1	200069	0.93	0.76	1.00	0.73	0.78	0.97	0.78
KN805858.1	45690	0.58	0.40	0.75	0.88	0.75	0.81	0.84
KN805858.1	45729	0.84	0.27	1.00	0.19	0.95	0.72	0.90
KN805858.1	100668	0.56	0.45	0.83	0.38	0.38	0.36	0.57
KN805859.1	321555	0.28	1.00	1.00	0.92	0.34	0.59	0.83
KN805859.1	380066	0.99	1.00	0.80	0.97	0.28	0.96	0.86
KN805860.1	145766	0.89	0.85	1.00	0.41	0.38	0.95	0.82
KN805860.1	410475	0.69	0.17	1.00	0.78	0.78	0.86	0.79
KN805861.1	24269	0.62	0.88	1.00	0.90	0.96	0.42	0.94
KN805861.1	24276	0.53	0.88	1.00	0.97	0.92	0.42	0.75
KN805861.1	24289	0.66	0.71	1.00	0.93	0.98	0.39	0.71
KN805861.1	24308	0.61	0.59	1.00	0.96	0.98	0.39	0.94
KN805861.1	52378	0.82	0.53	0.75	0.79	0.25	0.97	0.27
KN805864.1	257043	0.91	1.00	0.92	1.00	0.97	0.85	0.92
KN805864.1	257064	0.87	1.00	0.64	0.97	0.44	0.79	0.89
KN805864.1	293321	0.95	0.56	1.00	0.62	0.10	0.95	0.47
KN805865.1	178319	0.68	0.78	1.00	1.00	0.99	0.97	0.98
KN805868.1	73821	0.65	0.84	1.00	0.94	0.65	0.44	1.00
KN805868.1	73840	0.65	0.91	1.00	0.92	1.00	0.39	0.62
KN805868.1	73853	0.58	0.98	1.00	0.94	0.93	0.47	0.69
KN805868.1	73860	0.58	0.98	1.00	0.87	0.62	0.47	0.88
KN805870.1	115259	0.94	0.36	1.00	0.11	0.46	0.53	0.79
KN805872.1	158469	0.96	0.90	0.90	0.70	0.61	1.00	0.84
KN805873.1	282	0.78	0.52	0.80	0.67	0.76	0.80	0.39
KN805873.1	356	0.97	1.00	1.00	0.80	0.85	0.95	0.91
KN805879.1	220345	0.98	0.14	0.58	0.32	0.57	0.54	0.64
KN805888.1	262853	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805888.1	262866	1.00	1.00	1.00	1.00	1.00	0.68	1.00
KN805888.1	335282	0.71	0.14	0.28	0.80	0.60	0.82	0.58
KN805888.1	335313	0.71	0.14	0.43	0.70	0.36	0.88	0.83
KN805889.1	9737	0.66	0.13	0.25	0.32	0.95	0.95	1.00
KN805892.1	91729	0.81	0.50	1.00	1.00	0.16	0.78	0.88
KN805894.1	224869	0.34	0.24	0.33	0.38	0.75	0.30	0.25
KN805894.1	224886	0.87	0.89	0.77	0.94	0.85	0.97	0.83
KN805897.1	94541	0.85	0.93	0.70	0.74	0.72	0.85	0.92
KN805900.1	274041	0.80	0.26	0.76	0.79	0.17	0.50	0.50
KN805900.1	278666	0.60	0.36	1.00	0.11	0.65	0.36	0.58
KN805904.1	192607	0.32	0.64	0.98	0.45	0.56	0.70	0.85
KN805904.1	192616	0.55	0.64	1.00	0.82	0.33	1.00	0.85
KN805908.1	287930	0.62	1.00	1.00	1.00	1.00	0.91	0.62
KN805908.1	287936	0.99	0.96	1.00	0.97	1.00	0.60	0.55
KN805910.1	3444	0.69	0.81	1.00	0.79	0.55	0.90	0.75
KN805910.1	3449	0.65	0.77	0.76	0.64	0.58	0.81	0.84
KN805910.1	3451	0.74	0.81	0.66	0.64	0.56	0.69	0.85
KN805910.1	3483	0.72	0.61	0.88	0.70	0.91	0.77	0.60
KN805910.1	133214	0.91	0.89	1.00	0.95	0.95	0.93	0.91
KN805910.1	133227	1.00	0.95	1.00	0.97	0.93	0.94	0.92
KN805916.1	46885	0.86	0.62	0.73	0.87	0.80	0.78	0.91
KN805916.1	99430	0.98	0.27	0.58	0.35	0.56	0.53	0.69
KN805926.1	260336	0.92	0.62	0.94	0.46	0.96	0.95	1.00
KN805933.1	152562	0.11	0.34	0.30	0.11	0.10	0.20	0.30
KN805941.1	224678	0.36	0.40	0.90	0.78	0.30	0.14	0.59
KN805942.1	44868	0.84	0.46	0.95	0.69	0.82	1.00	0.85
KN805945.1	62234	0.63	0.34	0.62	0.77	0.87	0.88	0.67
KN805945.1	62236	0.80	0.48	0.74	0.78	0.93	0.90	0.73
KN805946.1	243845	0.58	0.63	0.50	0.73	0.86	0.73	0.84
KN805947.1	115082	0.97	0.86	0.92	0.82	0.65	0.93	0.96
KN805947.1	115129	0.76	0.78	0.77	0.58	0.35	0.67	0.84
KN805950.1	254177	1.00	0.76	0.94	1.00	1.00	0.98	1.00
KN805950.1	439958	0.98	0.73	1.00	0.14	0.65	0.89	0.88
KN805950.1	439963	0.99	0.91	1.00	1.00	0.75	0.89	0.96
KN805950.1	439965	0.42	0.73	0.45	1.00	0.58	0.86	0.12
KN805951.1	71829	0.65	0.83	1.00	0.88	0.97	0.82	0.93
KN805951.1	71848	0.63	0.91	1.00	0.83	1.00	0.82	0.62
KN805951.1	71861	0.56	0.97	1.00	0.88	0.93	0.88	0.69
KN805951.1	71868	0.59	0.97	1.00	0.71	0.97	0.94	0.92
KN805954.1	82839	0.97	0.14	0.58	0.32	0.57	0.54	0.64
KN805957.1	183943	0.96	1.00	0.98	0.20	0.99	0.75	1.00
KN805961.1	8590	0.80	0.73	0.47	0.88	0.81	0.74	0.69
KN805961.1	8602	0.91	1.00	0.84	0.98	0.90	0.84	0.83
KN805961.1	8823	0.98	0.88	0.78	0.77	0.92	1.00	0.99
KN805961.1	8831	0.99	0.81	0.68	1.00	0.85	0.61	0.65
KN805962.1	240930	0.89	0.73	0.75	0.73	0.86	0.79	0.82
KN805962.1	240937	0.91	0.93	0.89	0.82	0.89	0.92	0.89
KN805962.1	240979	0.90	0.90	0.93	0.77	0.95	0.93	0.99
KN805962.1	240987	0.93	0.86	0.89	0.92	0.90	0.90	0.88
KN805965.1	97867	0.35	0.57	1.00	0.94	0.98	0.41	1.00
KN805965.1	97886	0.78	0.79	1.00	0.92	1.00	0.41	0.62
KN805965.1	97899	0.29	0.93	1.00	0.94	0.95	0.44	0.69
KN805965.1	97906	0.76	0.93	1.00	0.87	0.98	0.44	0.92
KN805965.1	139854	0.53	0.26	0.50	0.18	0.38	0.83	0.65
KN805965.1	139856	0.83	0.29	0.54	0.18	0.44	0.79	0.71
KN805965.1	139865	0.55	0.35	0.42	0.92	0.53	0.79	0.75
KN805973.1	49903	0.58	0.61	0.57	0.94	0.72	0.79	0.76
KN805973.1	49935	0.65	0.94	0.75	0.92	0.79	0.81	0.77
KN805973.1	49942	0.78	0.87	0.88	1.00	0.85	0.88	0.81
KN805973.1	49948	0.83	0.79	0.62	1.00	0.90	0.90	0.87
KN805977.1	142182	0.48	0.54	0.72	0.53	0.50	0.65	0.60
KN805979.1	43678	0.92	1.00	0.21	0.40	0.22	0.74	0.66
KN805982.1	239140	0.94	0.81	1.00	0.72	1.00	0.86	0.93
KN805983.1	99901	0.94	0.38	1.00	0.11	0.58	0.56	0.78
KN805983.1	103938	0.89	0.81	1.00	0.91	0.83	0.52	0.73
KN805986.1	23383	0.80	0.84	0.97	0.55	0.80	0.81	0.70
KN805986.1	51062	0.32	0.84	0.92	0.82	0.21	0.21	0.67
KN805987.1	158953	0.82	0.48	0.76	0.68	0.93	0.86	0.73
KN805987.1	158955	0.65	0.43	0.67	0.74	0.89	0.88	0.67
KN805989.1	108984	0.48	0.28	0.47	0.27	0.66	0.15	0.27
KN805993.1	853759	1.00	0.86	0.94	0.45	0.98	0.95	1.00
KN805993.1	980444	0.96	0.80	1.00	0.76	0.85	0.94	0.94
KN805993.1	980450	0.79	0.88	0.50	0.88	0.87	0.90	0.88
KN805993.1	980455	0.89	0.92	0.80	0.94	0.87	0.90	0.86
KN805993.1	980457	0.80	0.76	0.80	0.94	0.84	0.78	0.82
KN805993.1	2881610	0.95	0.91	0.91	0.91	0.90	0.94	0.97
KN805993.1	2881616	0.93	0.91	0.67	0.95	0.78	0.85	0.95
KN805993.1	2881621	1.00	0.91	0.83	0.86	0.85	1.00	0.92
KN805993.1	2881623	1.00	0.86	1.00	0.95	0.90	0.88	0.92
KN805993.1	2881655	0.88	0.82	1.00	0.64	0.80	0.74	0.84
KN805994.1	50846	0.86	0.40	0.86	0.91	0.58	0.70	0.83
KN805994.1	51022	0.97	0.92	0.60	1.00	0.85	0.95	0.87
KN805994.1	51042	0.97	0.92	0.64	1.00	1.00	0.93	0.87
KN805994.1	51052	0.88	0.50	0.33	1.00	1.00	0.89	0.92
KN805994.1	1054802	0.69	0.82	0.33	1.00	0.86	0.62	0.85
KN805994.1	2346771	0.50	0.67	0.50	0.73	0.73	0.26	0.28
KN805996.1	112418	0.89	0.66	0.10	0.38	0.90	0.83	0.23
KN805996.1	234384	0.92	1.00	0.90	0.96	0.98	0.82	0.75
KN806000.1	95542	0.50	0.95	0.82	0.80	0.56	0.68	0.82
KN806000.1	95549	0.47	0.82	0.82	0.80	0.56	0.79	0.93
KN806000.1	95573	0.15	0.78	0.59	0.46	0.54	0.52	0.41
KN806000.1	225826	0.93	0.99	1.00	0.99	1.00	1.00	1.00
KN806004.1	156122	0.75	0.97	1.00	0.96	0.95	1.00	0.59
KN806004.1	156127	0.97	0.97	1.00	0.96	0.29	1.00	0.43
KN806004.1	156134	0.97	0.97	0.96	0.96	0.98	1.00	0.98
KN806004.1	156166	0.74	0.97	1.00	1.00	0.90	0.90	0.95
KN806015.1	11351	0.93	1.00	0.99	0.92	0.95	0.81	1.00
KN806015.1	11368	0.97	1.00	1.00	0.92	0.95	0.98	0.88
KN806015.1	185093	0.77	0.69	0.91	0.60	0.64	0.75	0.76
KN806015.1	185101	0.86	0.77	0.88	0.80	0.71	0.90	0.84
KN806015.1	185107	0.84	0.93	0.91	0.80	0.86	0.87	0.80
KN806015.1	185143	0.73	0.88	0.88	0.70	0.73	0.80	0.71
KN806015.1	185150	0.78	0.75	0.81	0.70	0.73	0.76	0.78
KN806015.1	247777	0.72	0.44	0.58	0.73	0.80	0.13	0.84
KN806023.1	246174	1.00	0.93	1.00	0.44	1.00	0.47	1.00
KN806023.1	246178	1.00	1.00	1.00	1.00	1.00	1.00	0.56
KN806023.1	246191	1.00	0.29	1.00	0.41	1.00	0.42	0.71
KN806023.1	276774	0.89	0.60	0.47	0.85	0.61	0.31	0.98
KN806024.1	105020	0.41	0.12	0.44	0.27	0.46	0.69	0.55
KN806025.1	205277	0.89	0.69	0.86	0.77	0.76	0.74	0.83
KN806027.1	127571	0.61	0.56	1.00	0.91	0.94	0.60	0.96
KN806027.1	127578	0.52	0.56	1.00	0.98	0.89	0.60	0.76
KN806027.1	127591	0.67	0.48	1.00	0.95	0.97	0.57	0.90
KN806027.1	127610	0.62	0.44	1.00	0.97	0.97	0.57	0.80
KN806028.1	194107	0.94	1.00	0.43	0.57	0.97	0.98	0.89
KN806031.1	17619	0.78	0.86	1.00	0.89	0.85	0.88	0.85
KN806031.1	17624	0.75	0.71	0.88	0.83	0.85	0.80	0.88
KN806031.1	17626	0.79	0.82	0.71	0.89	0.91	0.89	0.95
KN806031.1	17658	0.63	0.67	1.00	0.71	0.79	0.69	0.77
KN806031.1	17708	0.57	0.85	0.68	0.80	0.59	0.55	0.68
KN806031.1	17723	0.45	0.62	0.68	0.80	0.56	0.42	0.66
KN806031.1	18600	1.00	1.00	1.00	1.00	1.00	0.41	0.77
KN806031.1	18617	0.97	1.00	1.00	0.95	0.83	0.48	0.77
KN806031.1	222857	0.86	0.40	0.33	0.45	0.42	0.63	0.40
KN806031.1	222870	0.93	0.41	0.78	0.45	0.82	0.55	0.93
KN806031.1	222885	0.94	0.41	0.88	0.55	0.67	0.50	0.49
KN806034.1	41856	0.74	0.67	0.43	0.33	0.27	0.67	1.00
KN806037.1	109777	0.96	0.97	1.00	0.95	1.00	1.00	0.73
KN806046.1	108293	0.83	0.76	0.42	0.85	0.33	0.84	1.00
KN806048.1	194513	0.31	0.33	0.60	0.54	0.34	0.84	0.16
KN806048.1	194530	0.81	0.56	0.40	0.58	0.86	0.77	0.29
KN806055.1	141947	0.88	0.74	0.78	0.89	0.76	0.68	0.72
KN806065.1	178504	0.89	0.60	0.47	0.60	0.61	0.31	0.98
KN806067.1	47596	0.55	0.61	0.64	0.76	0.41	0.78	0.81
KN806076.1	160609	0.58	1.00	1.00	0.17	0.91	0.67	1.00
KN806076.1	217873	0.33	0.96	0.53	0.22	0.54	0.71	0.83
KN806076.1	217918	0.64	1.00	0.98	0.61	0.63	0.92	0.74
KN806078.1	696	0.67	1.00	0.90	0.90	0.89	0.52	0.76
KN806078.1	707	0.95	1.00	0.90	0.80	0.89	0.61	0.82
KN806078.1	713	0.90	0.75	0.90	0.80	0.72	0.93	0.79
KN806078.1	81962	0.70	0.60	0.53	0.68	0.83	0.73	0.60
KN806078.1	97147	0.52	0.78	1.00	1.00	0.98	0.96	0.98
KN806087.1	233865	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806093.1	58468	0.96	0.64	0.50	0.28	0.81	0.34	0.98
KN806096.1	62977	1.00	0.42	1.00	0.75	0.88	0.76	0.91
KN806097.1	168738	0.61	0.59	0.42	0.32	0.40	0.61	0.56
KN806104.1	116058	0.60	0.98	0.30	0.86	0.92	0.86	0.45
KN806105.1	174465	0.89	0.85	0.85	0.90	0.58	0.88	0.96
KN806105.1	174470	0.86	0.80	0.85	1.00	0.67	0.88	0.98
KN806105.1	174472	0.84	0.95	0.69	0.73	0.83	0.67	0.91
KN806105.1	174504	0.87	0.68	0.79	1.00	0.56	0.89	0.95
KN806111.1	24777	0.37	0.74	0.86	0.97	1.00	1.00	1.00
KN806111.1	24797	0.77	0.74	0.75	0.97	0.99	1.00	1.00
KN806111.1	157934	0.19	0.62	0.91	0.28	0.27	0.24	0.42
KN806114.1	73665	0.60	0.15	0.14	0.25	0.40	0.31	0.80
KN806114.1	154220	0.45	1.00	1.00	1.00	0.75	0.81	1.00
KN806124.1	76597	0.96	1.00	1.00	0.57	0.95	0.19	0.56
KN806126.1	111015	1.00	0.64	0.50	0.83	0.50	0.76	0.90
KN806126.1	111031	1.00	0.93	1.00	1.00	0.76	1.00	1.00
KN806126.1	111037	1.00	1.00	1.00	0.88	0.63	1.00	0.84
KN806126.1	111041	1.00	1.00	1.00	1.00	0.80	1.00	0.97
KN806126.1	111045	1.00	0.76	0.64	0.89	0.47	0.82	0.83
KN806126.1	111061	1.00	0.94	1.00	1.00	0.81	0.97	1.00
KN806126.1	111067	1.00	1.00	1.00	0.83	0.64	1.00	0.84
KN806126.1	111071	0.94	1.00	1.00	1.00	0.79	1.00	0.97
KN806130.1	12321	0.84	0.75	0.88	0.95	0.52	1.00	1.00
KN806130.1	12333	0.85	0.56	0.85	0.93	0.59	0.14	1.00
KN806137.1	31868	0.75	0.33	0.72	0.60	0.13	0.75	0.52
KN806142.1	52755	0.55	1.00	0.65	0.14	1.00	0.11	0.57
KN806143.1	133291	0.74	1.00	0.90	1.00	0.93	0.49	0.76
KN806144.1	81072	0.62	0.30	0.51	0.42	0.72	0.66	0.48
KN806144.1	81082	0.72	0.20	0.72	0.50	0.76	0.74	0.48
KN806144.1	117923	0.63	0.53	0.24	0.67	0.55	0.59	0.61
KN806146.1	115381	0.52	1.00	0.85	0.60	1.00	1.00	1.00
KN806148.1	90872	0.99	1.00	0.87	1.00	0.43	0.28	0.98
KN806152.1	165828	0.45	1.00	1.00	0.84	0.96	0.91	1.00
KN806152.1	165845	0.49	1.00	1.00	0.82	0.93	0.97	0.81
KN806152.1	165851	0.85	0.14	1.00	0.84	0.93	0.89	0.65
KN806152.1	165857	0.89	0.20	0.78	1.00	0.82	0.72	0.88
KN806153.1	27644	0.84	0.79	0.85	0.96	0.86	0.85	0.86
KN806153.1	27653	0.85	0.79	1.00	0.79	0.80	0.87	0.88
KN806155.1	21690	0.58	0.83	1.00	1.00	0.98	0.90	0.98
KN806156.1	139712	0.59	0.50	0.58	0.67	0.57	0.31	0.61
KN806157.1	180827	0.58	0.18	0.97	0.15	0.38	0.22	0.58
KN806162.1	119399	0.57	0.18	1.00	0.16	0.13	0.13	0.37
KN806163.1	38285	0.98	0.79	0.16	0.97	0.62	0.68	0.89
KN806164.1	192843	0.74	0.92	0.92	0.91	0.44	0.79	0.83
KN806164.1	192884	0.59	0.31	0.33	0.55	0.67	0.59	0.62
KN806168.1	165001	0.23	0.25	0.30	0.22	0.47	0.24	0.21
KN806169.1	15721	0.76	0.30	0.51	0.42	0.72	0.82	0.48
KN806169.1	15731	0.82	0.20	0.72	0.50	0.76	0.86	0.50
KN806169.1	173374	0.45	0.45	0.30	0.88	0.57	0.60	0.46
KN806170.1	135311	0.66	0.47	1.00	0.88	0.56	0.88	1.00
KN806170.1	135330	0.59	0.65	1.00	0.83	0.40	0.88	0.62
KN806170.1	135343	0.56	0.94	1.00	0.88	0.37	0.94	0.69
KN806170.1	135350	0.59	0.94	1.00	0.71	0.39	0.94	0.92
KN806177.1	47755	0.54	0.72	0.82	0.44	0.71	0.80	0.78
KN806177.1	47757	0.62	0.84	0.79	0.72	0.83	0.80	0.91
KN806177.1	47762	0.66	0.83	0.78	0.76	0.83	0.81	0.83
KN806182.1	64055	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806184.1	81239	0.89	0.38	1.00	0.89	0.58	0.66	0.77
KN806184.1	94853	0.81	0.36	0.39	0.22	0.18	0.41	0.94
KN806188.1	122317	0.65	0.60	1.00	0.94	0.97	0.82	0.93
KN806188.1	122336	0.62	0.80	1.00	0.92	1.00	0.82	0.62
KN806188.1	122349	0.54	0.93	1.00	0.94	0.92	0.94	0.69
KN806188.1	122356	0.58	0.93	1.00	0.90	0.97	0.94	0.92
KN806188.1	175080	0.45	0.95	1.00	0.87	0.87	0.62	0.94
KN806188.1	175087	0.52	0.95	1.00	0.96	0.87	0.22	0.75
KN806188.1	175100	0.55	0.93	1.00	0.92	0.97	0.18	0.69
KN806188.1	175119	0.70	0.88	1.00	0.96	0.97	0.18	0.94
KN806193.1	121038	0.96	0.12	0.57	0.35	0.56	0.49	0.72
KN806201.1	72506	0.52	0.48	0.25	0.23	0.24	0.39	0.79
KN806201.1	72508	0.13	0.12	0.25	0.24	0.24	0.39	0.33
KN806209.1	136563	0.62	0.54	1.00	0.67	0.90	0.62	0.88
KN806210.1	22587	0.89	1.00	0.54	0.49	0.80	1.00	0.63
KN806210.1	22609	0.54	0.70	0.54	0.48	0.72	0.67	0.88
KN806214.1	126896	0.89	0.50	0.47	0.60	0.59	0.34	0.98
KN806217.1	16416	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806217.1	16544	0.11	0.10	0.35	0.73	0.22	0.33	0.96
KN806226.1	9615	0.89	1.00	0.29	0.57	0.68	0.58	0.96
KN806234.1	13585	0.70	0.18	0.10	0.42	0.89	0.83	0.23
KN806234.1	13614	0.89	0.60	0.47	0.60	0.78	0.32	0.92
KN806234.1	30828	0.37	1.00	0.93	0.12	0.55	0.70	0.43
KN806234.1	107796	0.52	0.50	0.25	0.23	0.24	0.38	0.91
KN806234.1	107798	0.13	0.16	0.25	0.24	0.24	0.38	0.15
KN806244.1	1590	0.51	0.13	1.00	0.38	0.29	0.39	1.00
KN806244.1	95807	0.61	0.75	0.76	0.46	0.65	0.62	0.68
KN806246.1	108481	0.88	0.71	0.47	0.78	0.56	0.31	0.98
KN806246.1	108511	0.72	0.21	0.63	0.55	0.56	0.66	0.86
KN806249.1	35137	0.79	0.77	1.00	1.00	0.72	0.97	0.43
KN806249.1	35144	0.77	0.77	1.00	1.00	0.28	0.90	0.42
KN806249.1	35164	0.72	0.81	1.00	0.97	0.84	0.75	0.80
KN806249.1	56651	0.68	0.57	1.00	0.81	0.56	0.82	1.00
KN806249.1	56670	0.61	0.79	1.00	0.85	0.41	0.82	0.89
KN806249.1	56683	0.57	0.93	1.00	0.81	0.38	0.91	0.95
KN806249.1	56690	0.57	0.93	1.00	0.73	0.40	0.91	0.99
KN806249.1	101665	0.69	0.56	1.00	0.94	0.97	0.88	0.94
KN806249.1	101684	0.66	0.69	1.00	0.92	1.00	0.82	0.62
KN806249.1	101697	0.45	0.88	1.00	0.94	0.95	0.94	0.62
KN806249.1	101704	0.47	0.88	1.00	0.90	0.98	0.94	0.88
KN806253.1	81530	0.77	1.00	0.94	0.11	0.72	0.94	0.82
KN806253.1	143586	0.44	0.50	0.76	0.44	0.39	0.37	0.57
KN806254.1	81879	0.92	0.60	0.57	0.72	0.63	0.42	0.98
KN806254.1	82257	0.70	0.18	0.10	0.42	0.94	0.90	0.21
KN806275.1	73907	0.65	0.57	1.00	0.88	0.97	0.82	0.81
KN806275.1	73926	0.62	0.79	1.00	0.83	0.97	0.82	0.62
KN806275.1	73939	0.54	0.93	1.00	0.88	0.89	0.88	0.69
KN806275.1	73946	0.58	0.93	1.00	0.71	0.97	0.94	0.92
KN806279.1	6004	0.94	0.18	0.14	0.25	0.89	0.77	0.80
KN806291.1	77	0.76	0.21	0.90	0.63	0.28	0.78	0.46
KN806291.1	604	0.86	0.93	0.86	0.73	0.79	0.93	0.90
KN806291.1	628	0.78	0.17	0.56	0.55	0.81	0.93	0.75
KN806294.1	100842	0.88	0.67	0.44	0.31	0.33	0.84	1.00
KN806300.1	5441	0.51	0.94	0.88	0.62	0.69	0.95	0.74
KN806304.1	153200	0.74	1.00	1.00	0.30	0.77	0.39	0.68
KN806312.1	69276	1.00	0.95	1.00	0.98	0.92	0.98	0.76
KN806313.1	845335	0.98	0.77	0.92	0.93	0.98	0.87	0.98
KN806313.1	845368	0.89	0.61	1.00	0.93	0.95	0.99	0.95
KN806316.1	101865	0.16	0.45	0.41	0.43	0.66	0.48	0.12
KN806332.1	52041	1.00	0.95	1.00	1.00	1.00	0.60	1.00
KN806341.1	11656	0.76	0.42	0.76	0.87	0.76	0.91	0.90
KN806343.1	110350	0.61	0.59	0.42	0.32	0.40	0.62	0.56
KN806345.1	165016	1.00	0.62	0.75	0.55	0.86	0.82	0.91
KN806345.1	165067	0.33	0.96	0.93	0.58	0.94	0.95	0.95
KN806345.1	165068	0.71	1.00	1.00	0.92	0.92	0.77	0.59
KN806345.1	165087	0.94	0.96	0.80	0.50	0.94	0.82	0.99
KN806345.1	165088	0.90	1.00	0.92	0.83	0.92	0.92	0.60
KN806345.1	165098	0.68	0.90	0.92	0.67	0.83	0.79	0.58
KN806349.1	86437	0.84	0.40	0.47	0.93	0.61	0.48	0.96
KN806350.1	97491	0.47	0.14	0.10	0.42	0.79	0.83	0.21
KN806361.1	57063	1.00	0.79	1.00	0.98	0.66	0.85	0.88
KN806361.1	57068	1.00	0.93	1.00	1.00	0.89	0.72	0.96
KN806361.1	57070	0.53	0.67	0.36	1.00	0.79	0.67	0.33
KN806363.1	156910	0.58	0.53	0.86	0.96	0.50	0.79	0.46
KN806364.1	8896	0.90	0.67	0.82	0.75	0.87	0.80	0.94
KN806364.1	8903	0.92	0.83	0.86	0.67	0.88	0.87	0.86
KN806364.1	8945	0.75	0.91	0.90	1.00	1.00	0.81	0.94
KN806364.1	8953	0.92	1.00	0.90	0.80	0.91	0.81	0.97
KN806374.1	118536	0.93	0.99	1.00	0.99	1.00	1.00	1.00
KN806387.1	5592	0.90	0.99	1.00	0.98	1.00	0.98	0.97
KN806394.1	101440	0.28	1.00	0.53	0.14	0.97	0.50	0.97
KN806397.1	9633	0.59	0.73	0.58	0.56	0.43	0.76	0.77
KN806398.1	83514	0.96	1.00	0.41	0.47	0.95	0.99	1.00
KN806398.1	83528	0.66	1.00	1.00	1.00	0.82	0.96	1.00
KN806400.1	16498	0.83	0.90	0.86	1.00	0.69	0.85	0.97
KN806400.1	63339	0.63	0.43	0.85	0.82	0.85	0.86	0.75
KN806407.1	97328	0.94	0.89	0.71	0.67	0.95	0.77	0.87
KN806407.1	97331	0.94	1.00	0.83	0.83	0.95	0.86	0.92
KN806418.1	24736	0.87	0.59	0.53	0.75	0.82	0.94	0.95
KN806418.1	24737	0.62	0.38	0.35	0.15	0.60	0.82	0.68
KN806419.1	6633	0.51	0.99	1.00	0.80	0.56	0.98	0.93
KN806419.1	6665	0.93	0.95	0.96	0.80	1.00	0.94	0.69
KN806419.1	6667	0.98	0.95	1.00	0.90	0.53	0.38	0.92
KN806419.1	6672	0.96	0.98	1.00	0.67	0.56	0.94	1.00
KN806422.1	11351	0.65	0.57	1.00	0.88	0.97	0.88	0.93
KN806422.1	11370	0.62	0.79	1.00	0.84	1.00	0.88	0.62
KN806422.1	11383	0.54	0.93	1.00	0.88	0.92	0.94	0.69
KN806422.1	11390	0.58	0.93	1.00	0.72	0.97	0.94	0.92
KN806422.1	129385	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806422.1	129405	0.94	1.00	1.00	0.88	0.95	0.96	0.95
