chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN805637.1	576725	0.15	0.00	0.01	0.00	0.10	0.00	0.14	0.00	0.27	0.00	0.00	0.18	0.00	0.01	0.00	0.00	0.00	0.00	0.11	0.00	0.12	0.01
KN805638.1	37714	0.77	0.76	0.71	0.42	0.75	1.00	0.68	0.70	0.65	0.99	0.90	0.82	0.71	0.86	0.85	0.76	0.00	1.00	0.93	0.69	0.73	0.02
KN805638.1	191842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191845	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191860	0.33	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191863	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00
KN805638.1	191869	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00
KN805638.1	191875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	257001	0.86	0.63	0.47	0.46	0.90	0.04	0.75	0.86	0.89	0.98	0.94	0.80	0.89	0.99	0.76	0.97	0.00	0.95	0.95	0.62	0.95	0.86
KN805638.1	410136	0.00	0.00	0.00	0.22	0.00	0.00	0.27	0.00	0.17	0.01	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.34	0.00
KN805639.1	15526	0.01	0.00	0.01	0.01	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.09
KN805639.1	129386	0.91	0.27	0.89	0.98	0.81	0.20	0.53	0.72	0.88	0.92	0.40	0.91	0.47	0.90	0.86	0.98	1.00	0.93	0.78	0.95	0.77	1.00
KN805639.1	181683	0.00	0.00	0.00	0.00	0.20	0.00	0.25	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349790	0.00	0.00	0.00	0.23	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349805	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349819	0.00	0.00	0.13	0.23	0.01	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00
KN805639.1	349822	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349834	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.18	0.00
KN805639.1	350112	0.00	0.01	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805639.1	384727	0.15	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.23	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384785	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384793	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384796	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412981	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412993	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.45	0.01	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	413005	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416198	0.00	0.00	0.13	0.00	0.23	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
KN805639.1	416259	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416267	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	547699	0.10	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00
KN805640.1	189631	0.19	0.40	0.00	0.00	0.00	1.00	0.29	0.25	0.19	0.19	0.35	0.11	0.27	0.00	0.15	0.50	0.00	0.00	0.00	0.91	0.17	0.00
KN805640.1	189635	0.48	0.00	0.00	0.00	0.00	1.00	0.00	0.11	0.22	0.86	0.00	0.00	0.19	0.00	0.24	0.47	1.00	0.00	0.00	0.19	0.00	0.00
KN805640.1	189638	0.34	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.26	0.24	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.18	0.03	0.00
KN805640.1	189669	0.11	0.25	0.36	0.17	0.00	0.00	0.10	0.13	0.55	0.82	0.16	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.19	0.00
KN805640.1	262907	0.00	0.01	0.00	0.00	0.01	0.00	0.20	0.00	0.00	0.00	0.07	0.14	0.01	0.00	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	285656	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.21	0.00	0.13	0.08	0.00	0.19	0.00	0.00	0.08	0.00	0.00	0.01
KN805640.1	285665	0.13	0.00	0.17	0.06	0.54	0.00	0.00	0.16	0.00	0.00	0.00	0.44	0.27	0.00	0.00	0.17	0.00	0.47	0.00	0.00	0.57	0.00
KN805640.1	285666	0.00	0.00	0.13	0.17	0.38	0.01	0.20	0.19	0.24	0.02	0.33	0.07	0.00	0.00	0.21	0.19	0.00	0.01	0.00	0.00	0.20	0.01
KN805640.1	285709	0.00	0.20	0.18	0.20	0.33	0.00	0.11	0.59	0.46	0.02	0.31	0.12	0.00	0.03	0.32	0.29	0.00	0.00	0.18	0.00	0.37	0.02
KN805640.1	285723	0.15	0.08	0.08	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.10	0.00	0.00	0.22	0.00	0.00	0.00	0.17	0.00	0.00	0.00
KN805640.1	285787	0.00	0.05	0.00	0.06	0.00	0.00	0.00	0.23	0.24	0.27	0.08	0.13	0.06	0.00	0.15	0.00	0.00	0.00	0.23	0.00	0.08	0.00
KN805640.1	309642	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00
KN805640.1	309659	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	309676	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805640.1	318068	0.16	0.17	0.00	0.00	0.05	0.00	0.03	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.13	0.00
KN805640.1	524352	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.13	0.00
KN805641.1	10495	0.05	0.47	0.24	0.20	0.17	0.00	0.18	0.10	0.35	0.57	0.31	0.27	0.40	0.14	0.27	0.44	0.40	0.64	0.22	0.07	0.52	0.04
KN805641.1	10543	1.00	0.81	0.98	0.88	1.00	0.94	1.00	0.83	1.00	1.00	1.00	0.85	1.00	0.91	0.83	1.00	1.00	1.00	1.00	1.00	0.94	0.07
KN805641.1	35027	0.00	0.00	0.00	0.05	0.01	0.00	0.00	0.00	0.33	0.01	0.13	0.10	0.10	0.00	0.00	0.10	0.00	0.00	0.01	0.01	0.00	0.01
KN805641.1	35083	0.00	0.00	0.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805641.1	35093	0.11	0.00	0.00	0.00	0.00	0.00	0.23	0.10	0.00	0.00	0.00	0.23	0.00	0.00	0.48	0.00	0.00	0.04	0.00	0.16	0.00	0.00
KN805641.1	35142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	57366	0.07	0.06	0.11	0.03	0.08	0.05	0.06	0.23	0.09	0.06	0.12	0.08	0.12	0.09	0.04	0.14	0.08	0.39	0.07	0.03	0.09	0.42
KN805641.1	164570	0.83	0.79	0.42	0.62	0.84	0.01	0.86	0.40	0.81	0.82	0.84	0.66	0.49	1.00	0.33	0.93	0.00	0.00	0.97	0.92	0.91	0.01
KN805641.1	204006	0.09	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.19	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00
KN805641.1	204011	0.06	0.17	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.13	0.00
KN805641.1	204020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	287571	0.74	0.82	0.77	0.75	0.85	0.97	0.60	0.70	0.76	0.86	0.89	0.75	0.78	0.78	0.89	0.77	0.47	0.91	0.80	0.75	0.74	0.58
KN805641.1	319595	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
KN805641.1	319606	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	319620	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805641.1	319623	0.00	0.01	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	319636	0.00	0.01	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00
KN805641.1	379950	0.04	0.78	0.62	0.37	0.67	0.00	0.91	0.07	0.76	0.00	0.32	0.15	0.23	0.29	0.38	0.41	0.00	0.46	0.76	0.74	0.82	0.00
KN805641.1	496405	0.08	0.00	0.00	0.05	0.33	0.00	0.14	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.22	0.00	0.08
KN805641.1	499887	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.30	0.12	0.00	0.12	0.00	0.15	0.00	0.29	0.21	0.00	0.00	0.15	0.00	0.00	0.00
KN805642.1	9526	0.03	0.42	0.24	0.16	0.17	0.00	0.16	0.04	0.30	0.53	0.20	0.24	0.21	0.08	0.26	0.33	0.10	0.64	0.22	0.03	0.29	0.00
KN805642.1	383630	0.02	0.06	0.00	0.00	0.01	0.06	0.03	0.00	0.36	0.00	0.01	0.02	0.08	0.01	0.47	0.13	0.00	0.17	0.00	0.14	0.07	0.00
KN805642.1	383635	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.01	0.46	0.01	0.00	0.00	0.11	0.01	0.02	0.00
KN805642.1	383638	0.02	0.00	0.00	0.11	0.01	0.00	0.03	0.01	0.35	0.03	0.00	0.00	0.00	0.00	0.46	0.06	0.00	0.00	0.00	0.01	0.02	0.00
KN805642.1	383661	0.02	0.00	0.08	0.04	0.03	0.00	0.28	0.01	0.01	0.03	0.00	0.03	0.00	0.18	0.46	0.17	0.00	0.04	0.01	0.03	0.05	0.00
KN805642.1	447231	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.01	0.25	0.00	0.08	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805643.1	171050	0.74	0.86	0.76	0.75	0.39	0.99	0.60	0.89	0.87	0.72	0.49	0.90	0.73	0.61	0.54	0.98	0.95	0.27	0.74	0.93	0.58	0.99
KN805643.1	171057	0.76	0.67	0.75	0.78	0.81	0.99	0.43	0.55	0.71	0.83	0.78	0.96	0.64	0.85	0.87	0.99	0.94	1.00	0.72	0.93	0.53	0.99
KN805643.1	171063	0.80	0.95	0.79	0.80	0.84	0.99	0.83	0.74	0.98	0.82	0.74	0.91	0.83	0.86	0.87	1.00	1.00	0.99	0.74	0.93	0.56	0.09
KN805643.1	306111	0.11	0.00	0.03	0.66	0.46	0.14	0.56	0.27	0.58	0.33	0.02	0.10	0.34	0.11	0.47	0.64	0.19	0.06	0.07	0.14	0.00	0.86
KN805643.1	543177	0.72	0.32	0.67	0.93	0.42	0.00	0.06	0.59	0.65	0.89	0.29	0.03	0.67	0.76	0.12	0.75	0.00	0.02	0.28	0.30	0.54	0.00
KN805643.1	563536	0.50	0.08	0.47	0.22	0.62	0.00	0.76	0.03	0.50	0.30	0.02	0.56	0.42	0.58	0.57	0.42	0.00	0.01	0.41	0.66	0.60	0.33
KN805644.1	58798	0.63	0.37	0.52	0.18	0.43	0.11	0.36	0.55	0.44	0.69	0.64	0.26	0.59	0.59	0.75	0.75	0.02	0.90	0.52	0.73	0.42	0.42
KN805644.1	72467	0.00	0.00	0.12	0.01	0.00	0.24	0.08	0.00	0.26	0.09	0.07	0.09	0.17	0.16	0.18	0.22	0.39	0.19	0.05	0.04	0.04	0.09
KN805644.1	479534	0.11	0.08	0.01	0.00	0.08	0.00	0.00	0.03	0.14	0.31	0.04	0.07	0.04	0.02	0.15	0.10	1.00	0.75	0.13	0.00	0.19	1.00
KN805644.1	548521	0.05	0.00	0.02	0.02	0.00	0.09	0.02	0.00	0.02	0.05	0.02	0.02	0.05	0.07	0.03	0.02	0.00	0.02	0.00	0.00	0.00	0.01
KN805645.1	23518	0.07	0.07	0.05	0.09	0.03	0.01	0.05	0.11	0.09	0.13	0.07	0.10	0.13	0.12	0.12	0.18	0.00	0.11	0.12	0.16	0.08	0.52
KN805645.1	210106	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	442125	0.00	0.00	0.05	0.07	0.02	0.89	0.00	0.09	0.06	0.07	0.52	0.02	0.04	0.00	0.02	0.61	0.00	0.02	0.49	0.02	0.03	0.00
KN805646.1	75867	0.95	0.91	0.41	0.57	0.87	0.73	0.61	0.86	0.95	0.98	0.92	0.81	0.84	0.95	0.33	0.99	0.00	0.96	0.95	0.64	1.00	0.85
KN805646.1	132163	0.74	1.00	0.50	0.79	0.27	0.04	0.99	0.84	0.83	1.00	0.83	0.96	0.63	1.00	0.92	1.00	0.00	0.99	0.68	0.92	0.66	0.51
KN805646.1	383969	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.06	0.00	0.09	0.00	0.00	0.00	0.18	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805646.1	383978	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805647.1	134046	0.06	0.22	0.00	0.00	0.10	0.48	0.23	0.09	0.05	0.20	0.00	0.00	0.09	0.09	0.00	0.00	0.00	0.00	0.15	0.25	0.03	0.00
KN805647.1	134054	0.00	0.22	0.00	0.01	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.03	0.00
KN805647.1	329749	1.00	1.00	0.78	0.72	0.93	1.00	0.81	0.99	0.40	0.86	0.98	0.76	0.96	1.00	0.97	1.00	1.00	0.98	0.72	0.76	0.88	1.00
KN805648.1	57863	0.14	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.04	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805648.1	57879	0.01	0.01	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	57881	0.00	0.33	0.00	0.00	0.10	0.00	0.00	0.00	0.01	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.99
KN805648.1	57889	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.18	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805648.1	57900	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805648.1	58051	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.16	0.00	0.08	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	58053	0.14	0.00	0.00	0.01	0.01	0.00	0.00	0.09	0.00	0.00	0.00	0.16	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	231780	0.85	1.00	0.78	0.72	0.93	1.00	0.81	0.99	0.40	0.86	0.98	0.76	0.96	1.00	0.97	1.00	1.00	0.98	0.72	0.76	0.88	1.00
KN805648.1	346418	0.04	0.00	0.02	0.09	0.06	0.00	0.09	0.03	0.17	0.02	0.00	0.02	0.00	0.00	0.00	0.03	0.00	0.03	0.13	0.00	0.08	0.00
KN805648.1	418161	0.40	1.00	0.85	1.00	0.88	0.79	0.92	1.00	0.48	0.97	0.83	0.88	0.91	0.78	0.96	0.93	1.00	0.82	0.57	0.97	0.95	1.00
KN805649.1	344995	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345005	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805649.1	345394	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345404	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345407	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345475	0.00	0.20	0.20	0.00	0.17	0.00	0.00	0.00	0.08	0.09	0.00	0.06	0.11	0.07	0.02	0.00	0.00	0.00	0.01	0.02	0.02	0.01
KN805649.1	409108	0.31	0.80	0.05	0.26	0.93	0.53	0.03	0.02	0.02	0.10	0.14	0.08	0.03	0.03	0.45	0.00	0.00	0.10	0.25	0.07	0.14	0.00
KN805649.1	409130	0.33	0.98	0.22	0.28	0.21	0.53	0.00	0.03	0.03	0.06	0.14	0.06	0.03	0.39	0.56	0.08	0.00	0.10	0.09	0.09	0.15	0.00
KN805649.1	409135	0.29	0.88	0.45	0.26	0.21	0.53	0.02	0.03	0.02	0.06	0.10	0.07	0.03	0.18	0.29	0.24	0.00	0.00	0.08	0.07	0.13	0.00
KN805649.1	471090	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	503043	0.11	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.10	0.00	0.00	0.10	0.00	0.00	0.00	0.18	0.01	0.00
KN805649.1	551216	0.01	0.02	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.01	0.10	0.00	0.00	0.96
KN805650.1	52043	0.78	0.31	0.76	0.64	0.85	0.01	0.36	0.66	0.69	0.78	0.44	0.73	0.54	0.56	0.60	0.83	1.00	0.18	0.30	0.73	0.37	0.99
KN805650.1	52045	0.90	0.35	0.70	0.68	1.00	1.00	0.70	0.14	0.26	0.88	0.61	0.74	0.53	0.57	0.73	0.77	0.00	0.36	0.48	1.00	0.46	0.88
KN805650.1	52047	0.71	0.34	0.62	0.68	0.85	1.00	0.71	0.55	0.70	0.77	0.53	0.82	0.47	0.49	0.57	0.65	0.00	0.18	0.50	0.99	0.65	0.01
KN805650.1	52052	0.76	0.49	0.56	0.66	0.72	1.00	0.61	0.67	0.56	0.68	0.58	0.58	0.44	0.35	0.69	0.50	1.00	0.36	0.66	0.50	0.45	0.87
KN805650.1	52055	0.60	0.02	0.43	0.62	0.85	1.00	0.35	0.22	0.69	0.45	0.26	0.54	0.23	0.34	0.60	0.41	1.00	0.18	0.47	0.65	0.05	0.87
KN805650.1	379719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805650.1	379782	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.19	0.00
KN805651.1	87718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.11	0.01	0.02	0.00	0.00	0.12	0.00	0.11	0.00	0.14	0.00	0.00
KN805651.1	87739	0.17	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
KN805651.1	87741	0.00	0.00	0.09	0.22	0.01	0.00	0.00	0.00	0.00	0.34	0.00	0.29	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	87760	0.19	0.35	0.05	0.00	0.00	0.00	0.00	0.29	0.39	0.34	0.08	0.14	0.19	0.00	0.12	0.10	0.00	0.00	0.20	0.14	0.11	0.00
KN805651.1	87777	0.00	0.26	0.00	0.00	0.00	0.00	0.02	0.04	0.00	0.00	0.00	0.15	0.02	0.27	0.13	0.00	0.00	0.00	0.18	0.32	0.20	0.00
KN805651.1	87781	0.00	0.12	0.00	0.21	0.21	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.02	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN805651.1	87786	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.01	0.00
KN805651.1	87787	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.38	0.00	0.18	0.00	0.01	0.12	0.00	0.99	0.00	0.00	0.01	0.03	0.00
KN805651.1	248637	0.33	0.34	0.36	0.18	0.31	0.11	0.43	0.29	0.44	0.55	0.31	0.33	0.35	0.32	0.20	0.23	0.00	0.28	0.30	0.19	0.31	0.48
