chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202789	0.78	0.84	0.68	0.78	0.82	0.88	0.91
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202796	0.56	0.47	0.57	0.61	0.69	0.42	0.94
KN805807.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805807.1:1:376875:1 REF	268892	0.81	1.00	0.23	0.84	0.88	0.60	0.91
KN805809.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805809.1:1:430174:1 REF	251151	0.70	0.19	0.91	0.42	0.45	0.19	0.70
KN805810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805810.1:1:425609:1 REF	406757	0.73	0.73	0.82	0.98	0.60	1.00	0.70
KN805811.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805811.1:1:412191:1 REF	115871	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	52112	0.75	0.90	1.00	1.00	0.99	0.98	0.98
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135717	0.86	0.64	0.91	0.47	0.93	0.91	0.75
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135749	0.84	0.73	1.00	0.80	0.74	0.91	0.86
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135751	0.88	1.00	1.00	1.00	0.81	0.93	0.87
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135756	0.95	0.73	0.77	0.93	0.81	1.00	0.92
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135762	0.95	1.00	1.00	0.80	0.96	1.00	0.95
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157880	0.84	0.93	0.88	0.62	0.73	0.67	0.75
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157887	0.75	0.93	0.83	0.54	0.73	0.70	0.87
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	425053	0.89	0.90	0.74	0.70	0.86	0.82	0.87
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	425085	0.89	0.90	0.67	0.29	0.88	0.94	0.86
KN805818.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805818.1:1:393344:1 REF	87444	0.98	0.92	0.98	0.87	1.00	1.00	1.00
KN805820.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805820.1:1:393594:1 REF	318141	0.90	0.98	1.00	0.81	0.91	0.92	0.86
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	2434717	0.72	0.15	0.10	0.78	0.81	0.80	0.22
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	3769644	0.94	0.44	0.58	0.95	0.73	0.85	0.73
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	679700	0.46	0.10	0.15	0.88	0.44	0.64	0.60
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	679734	0.73	0.57	1.00	0.86	0.77	0.91	0.85
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	2580726	0.65	0.80	0.45	0.38	0.78	0.60	0.65
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	2580767	0.66	0.93	0.93	0.23	0.80	0.79	0.80
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	2986547	0.94	0.13	0.53	0.74	0.54	0.50	0.97
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	175056	0.95	0.88	0.75	0.96	0.82	1.00	0.88
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	175064	0.92	0.81	0.67	0.97	0.82	0.97	0.86
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	278350	0.56	0.55	0.50	0.88	0.65	0.32	0.98
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127526	0.37	0.78	0.81	0.19	0.78	0.82	0.34
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127698	0.98	0.94	1.00	0.94	0.90	0.95	0.43
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127707	0.98	0.94	0.73	0.94	0.93	0.92	0.97
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	332144	0.91	0.60	0.50	0.88	0.80	0.33	0.98
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	375129	0.86	0.91	0.30	0.60	0.88	0.56	0.82
KN805829.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805829.1:1:365450:1 REF	104515	0.67	0.57	1.00	0.94	0.97	0.41	0.93
KN805829.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805829.1:1:365450:1 REF	104534	0.63	0.79	1.00	0.93	1.00	0.41	0.62
KN805829.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805829.1:1:365450:1 REF	104547	0.56	0.93	1.00	0.95	0.92	0.44	0.69
KN805829.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805829.1:1:365450:1 REF	104554	0.59	0.93	1.00	0.87	0.97	0.44	0.92
KN805830.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805830.1:1:393431:1 REF	13410	0.75	0.64	0.67	0.50	0.67	0.73	0.86
KN805831.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805831.1:1:387948:1 REF	145607	0.54	0.78	0.91	1.00	0.99	0.97	0.98
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27381	0.55	0.69	1.00	0.70	0.89	0.96	0.95
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	53696	0.39	0.58	1.00	0.33	0.69	0.63	0.80
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	78803	0.27	0.95	0.95	0.98	0.86	0.61	0.53
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	78843	0.95	0.95	0.96	1.00	0.93	1.00	0.71
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	124338	0.60	0.54	1.00	0.87	0.94	0.60	0.96
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	124345	0.50	0.54	1.00	0.96	0.89	0.60	0.52
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	124358	0.63	0.50	1.00	0.92	0.97	0.57	0.78
KN805847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805847.1:1:345150:1 REF	124377	0.62	0.42	1.00	0.96	0.97	0.57	0.62
KN805850.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805850.1:1:344139:1 REF	160251	0.22	0.31	0.31	0.23	0.34	0.43	0.19
KN805850.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805850.1:1:344139:1 REF	200069	0.93	0.76	1.00	0.73	0.78	0.97	0.78
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	45690	0.58	0.40	0.75	0.88	0.75	0.81	0.84
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	45729	0.84	0.27	1.00	0.19	0.95	0.72	0.90
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	100668	0.56	0.45	0.83	0.38	0.38	0.36	0.57
KN805859.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805859.1:1:404737:1 REF	321555	0.28	1.00	1.00	0.92	0.34	0.59	0.83
KN805859.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805859.1:1:404737:1 REF	380066	0.99	1.00	0.80	0.97	0.28	0.96	0.86
KN805860.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805860.1:1:502814:1 REF	145766	0.89	0.85	1.00	0.41	0.38	0.95	0.82
KN805860.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805860.1:1:502814:1 REF	410475	0.69	0.17	1.00	0.78	0.78	0.86	0.79
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	24269	0.62	0.88	1.00	0.90	0.96	0.42	0.94
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	24276	0.53	0.88	1.00	0.97	0.92	0.42	0.75
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	24289	0.66	0.71	1.00	0.93	0.98	0.39	0.71
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	24308	0.61	0.59	1.00	0.96	0.98	0.39	0.94
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	52378	0.82	0.53	0.75	0.79	0.25	0.97	0.27
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	257043	0.91	1.00	0.92	1.00	0.97	0.85	0.92
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	257064	0.87	1.00	0.64	0.97	0.44	0.79	0.89
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	293321	0.95	0.56	1.00	0.62	0.10	0.95	0.47
KN805865.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805865.1:1:338804:1 REF	178319	0.68	0.78	1.00	1.00	0.99	0.97	0.98
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73821	0.65	0.84	1.00	0.94	0.65	0.44	1.00
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73840	0.65	0.91	1.00	0.92	1.00	0.39	0.62
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73853	0.58	0.98	1.00	0.94	0.93	0.47	0.69
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73860	0.58	0.98	1.00	0.87	0.62	0.47	0.88
KN805870.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805870.1:1:437161:1 REF	115259	0.94	0.36	1.00	0.11	0.46	0.53	0.79
KN805872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805872.1:1:361584:1 REF	158469	0.96	0.90	0.90	0.70	0.61	1.00	0.84
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	282	0.78	0.52	0.80	0.67	0.76	0.80	0.39
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	356	0.97	1.00	1.00	0.80	0.85	0.95	0.91
KN805879.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805879.1:1:327513:1 REF	220345	0.98	0.14	0.58	0.32	0.57	0.54	0.64
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	262853	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	262866	1.00	1.00	1.00	1.00	1.00	0.68	1.00
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	335282	0.71	0.14	0.28	0.80	0.60	0.82	0.58
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	335313	0.71	0.14	0.43	0.70	0.36	0.88	0.83
KN805889.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805889.1:1:380896:1 REF	9737	0.66	0.13	0.25	0.32	0.95	0.95	1.00
KN805892.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805892.1:1:294437:1 REF	91729	0.81	0.50	1.00	1.00	0.16	0.78	0.88
KN805894.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805894.1:1:340727:1 REF	224869	0.34	0.24	0.33	0.38	0.75	0.30	0.25
KN805894.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805894.1:1:340727:1 REF	224886	0.87	0.89	0.77	0.94	0.85	0.97	0.83
KN805897.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805897.1:1:303231:1 REF	94541	0.85	0.93	0.70	0.74	0.72	0.85	0.92
KN805900.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805900.1:1:306741:1 REF	274041	0.80	0.26	0.76	0.79	0.17	0.50	0.50
KN805900.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805900.1:1:306741:1 REF	278666	0.60	0.36	1.00	0.11	0.65	0.36	0.58
KN805904.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805904.1:1:358435:1 REF	192607	0.32	0.64	0.98	0.45	0.56	0.70	0.85
KN805904.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805904.1:1:358435:1 REF	192616	0.55	0.64	1.00	0.82	0.33	1.00	0.85
KN805908.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805908.1:1:304466:1 REF	287930	0.62	1.00	1.00	1.00	1.00	0.91	0.62
KN805908.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805908.1:1:304466:1 REF	287936	0.99	0.96	1.00	0.97	1.00	0.60	0.55
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3444	0.69	0.81	1.00	0.79	0.55	0.90	0.75
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3449	0.65	0.77	0.76	0.64	0.58	0.81	0.84
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3451	0.74	0.81	0.66	0.64	0.56	0.69	0.85
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3483	0.72	0.61	0.88	0.70	0.91	0.77	0.60
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	133214	0.91	0.89	1.00	0.95	0.95	0.93	0.91
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	133227	1.00	0.95	1.00	0.97	0.93	0.94	0.92
KN805916.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805916.1:1:366340:1 REF	46885	0.86	0.62	0.73	0.87	0.80	0.78	0.91
KN805916.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805916.1:1:366340:1 REF	99430	0.98	0.27	0.58	0.35	0.56	0.53	0.69
KN805926.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805926.1:1:307117:1 REF	260336	0.92	0.62	0.94	0.46	0.96	0.95	1.00
KN805933.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805933.1:1:256252:1 REF	152562	0.11	0.34	0.30	0.11	0.10	0.20	0.30
KN805941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805941.1:1:328121:1 REF	224678	0.36	0.40	0.90	0.78	0.30	0.14	0.59
KN805942.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805942.1:1:345068:1 REF	44868	0.84	0.46	0.95	0.69	0.82	1.00	0.85
KN805945.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805945.1:1:269400:1 REF	62234	0.63	0.34	0.62	0.77	0.87	0.88	0.67
KN805945.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805945.1:1:269400:1 REF	62236	0.80	0.48	0.74	0.78	0.93	0.90	0.73
KN805946.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805946.1:1:281918:1 REF	243845	0.58	0.63	0.50	0.73	0.86	0.73	0.84
KN805947.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805947.1:1:305151:1 REF	115082	0.97	0.86	0.92	0.82	0.65	0.93	0.96
KN805947.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805947.1:1:305151:1 REF	115129	0.76	0.78	0.77	0.58	0.35	0.67	0.84
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	254177	1.00	0.76	0.94	1.00	1.00	0.98	1.00
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	439958	0.98	0.73	1.00	0.14	0.65	0.89	0.88
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	439963	0.99	0.91	1.00	1.00	0.75	0.89	0.96
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	439965	0.42	0.73	0.45	1.00	0.58	0.86	0.12
KN805951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805951.1:1:333635:1 REF	71829	0.65	0.83	1.00	0.88	0.97	0.82	0.93
KN805951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805951.1:1:333635:1 REF	71848	0.63	0.91	1.00	0.83	1.00	0.82	0.62
KN805951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805951.1:1:333635:1 REF	71861	0.56	0.97	1.00	0.88	0.93	0.88	0.69
KN805951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805951.1:1:333635:1 REF	71868	0.59	0.97	1.00	0.71	0.97	0.94	0.92
KN805954.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805954.1:1:363638:1 REF	82839	0.97	0.14	0.58	0.32	0.57	0.54	0.64
KN805957.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805957.1:1:250079:1 REF	183943	0.96	1.00	0.98	0.20	0.99	0.75	1.00
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8590	0.80	0.73	0.47	0.88	0.81	0.74	0.69
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8602	0.91	1.00	0.84	0.98	0.90	0.84	0.83
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8823	0.98	0.88	0.78	0.77	0.92	1.00	0.99
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8831	0.99	0.81	0.68	1.00	0.85	0.61	0.65
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240930	0.89	0.73	0.75	0.73	0.86	0.79	0.82
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240937	0.91	0.93	0.89	0.82	0.89	0.92	0.89
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240979	0.90	0.90	0.93	0.77	0.95	0.93	0.99
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240987	0.93	0.86	0.89	0.92	0.90	0.90	0.88
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97867	0.35	0.57	1.00	0.94	0.98	0.41	1.00
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97886	0.78	0.79	1.00	0.92	1.00	0.41	0.62
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97899	0.29	0.93	1.00	0.94	0.95	0.44	0.69
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97906	0.76	0.93	1.00	0.87	0.98	0.44	0.92
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139854	0.53	0.26	0.50	0.18	0.38	0.83	0.65
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139856	0.83	0.29	0.54	0.18	0.44	0.79	0.71
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139865	0.55	0.35	0.42	0.92	0.53	0.79	0.75
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49903	0.58	0.61	0.57	0.94	0.72	0.79	0.76
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49935	0.65	0.94	0.75	0.92	0.79	0.81	0.77
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49942	0.78	0.87	0.88	1.00	0.85	0.88	0.81
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49948	0.83	0.79	0.62	1.00	0.90	0.90	0.87
KN805977.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805977.1:1:316253:1 REF	142182	0.48	0.54	0.72	0.53	0.50	0.65	0.60
KN805979.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805979.1:1:240234:1 REF	43678	0.92	1.00	0.21	0.40	0.22	0.74	0.66
KN805982.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805982.1:1:266386:1 REF	239140	0.94	0.81	1.00	0.72	1.00	0.86	0.93
KN805983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805983.1:1:232549:1 REF	99901	0.94	0.38	1.00	0.11	0.58	0.56	0.78
KN805983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805983.1:1:232549:1 REF	103938	0.89	0.81	1.00	0.91	0.83	0.52	0.73
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	23383	0.80	0.84	0.97	0.55	0.80	0.81	0.70
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	51062	0.32	0.84	0.92	0.82	0.21	0.21	0.67
KN805987.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805987.1:1:238499:1 REF	158953	0.82	0.48	0.76	0.68	0.93	0.86	0.73
KN805987.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805987.1:1:238499:1 REF	158955	0.65	0.43	0.67	0.74	0.89	0.88	0.67
KN805989.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805989.1:1:243731:1 REF	108984	0.48	0.28	0.47	0.27	0.66	0.15	0.27
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	853759	1.00	0.86	0.94	0.45	0.98	0.95	1.00
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	980444	0.96	0.80	1.00	0.76	0.85	0.94	0.94
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	980450	0.79	0.88	0.50	0.88	0.87	0.90	0.88
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	980455	0.89	0.92	0.80	0.94	0.87	0.90	0.86
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	980457	0.80	0.76	0.80	0.94	0.84	0.78	0.82
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	2881610	0.95	0.91	0.91	0.91	0.90	0.94	0.97
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	2881616	0.93	0.91	0.67	0.95	0.78	0.85	0.95
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	2881621	1.00	0.91	0.83	0.86	0.85	1.00	0.92
KN805993.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805993.1:1:3526225:1 REF	2881623	1.00	0.86	1.00	0.95	0.90	0.88	0.92
