chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
KN805637.1	457453	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805637.1	529501	0.20	0.27	0.30	0.00	0.46	0.00	0.09	0.12
KN805637.1	544216	0.05	0.00	0.11	0.00	0.00	0.00	0.00	0.00
KN805637.1	544262	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544278	0.00	0.00	0.14	0.01	0.23	0.00	0.00	0.00
KN805637.1	544282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544296	0.00	0.28	0.00	0.00	0.00	0.02	0.00	0.00
KN805637.1	544298	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805637.1	544303	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544305	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00
KN805637.1	544314	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544363	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	544420	0.00	0.06	0.00	0.01	0.00	0.62	0.26	0.00
KN805637.1	576725	0.00	0.18	0.00	0.00	0.11	0.00	0.12	0.01
KN805637.1	576733	0.00	0.00	0.02	0.00	0.14	0.00	0.00	0.00
KN805637.1	576751	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
KN805637.1	576768	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
KN805637.1	576774	0.00	0.00	0.00	0.00	0.00	0.03	0.04	0.00
KN805637.1	597893	0.00	0.17	0.33	0.00	0.00	0.00	0.00	0.00
KN805637.1	597932	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
KN805637.1	598056	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	598063	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	598076	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	598087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603678	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603680	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603686	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603887	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603896	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805637.1	603908	0.15	0.23	0.00	0.01	0.00	0.00	0.00	0.00
KN805638.1	37714	0.90	0.82	0.71	0.00	0.93	0.69	0.73	0.02
KN805638.1	191842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191845	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191860	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191863	0.00	0.02	0.00	0.00	0.00	0.22	0.00	0.00
KN805638.1	191869	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00
KN805638.1	191875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	191884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805638.1	257001	0.94	0.80	0.89	0.00	0.95	0.62	0.95	0.86
KN805638.1	260822	0.63	0.42	0.79	0.12	0.83	0.02	0.65	0.36
KN805638.1	409924	0.00	0.30	0.00	0.00	0.00	0.00	0.04	0.01
KN805638.1	410136	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00
KN805639.1	15526	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.09
KN805639.1	16548	0.20	0.01	0.18	0.00	0.11	0.00	0.39	0.00
KN805639.1	18453	0.05	0.19	0.00	0.00	0.40	0.00	0.00	0.00
KN805639.1	18458	0.00	0.15	0.00	0.00	0.03	0.04	0.00	0.00
KN805639.1	18460	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	18469	0.21	0.11	0.03	0.00	0.03	0.42	0.00	0.00
KN805639.1	18481	0.01	0.11	0.14	0.00	0.00	0.00	0.00	0.00
KN805639.1	21456	0.00	0.15	0.00	0.00	0.00	0.31	0.19	0.00
KN805639.1	21475	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00
KN805639.1	21477	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
KN805639.1	86933	0.16	0.04	0.19	0.13	0.00	0.03	0.00	0.01
KN805639.1	129386	0.40	0.91	0.47	1.00	0.78	0.95	0.77	1.00
KN805639.1	129701	0.78	0.99	1.00	1.00	0.98	0.08	0.61	1.00
KN805639.1	129707	0.80	0.99	0.99	1.00	0.99	0.02	0.87	1.00
KN805639.1	129734	1.00	1.00	0.73	1.00	0.99	0.00	0.56	1.00
KN805639.1	181683	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227198	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00
KN805639.1	227201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227252	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227346	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227351	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN805639.1	227365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227376	0.00	0.00	0.00	0.00	0.00	0.30	0.02	0.00
KN805639.1	227386	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN805639.1	227624	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	227634	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00
KN805639.1	260648	0.00	0.03	0.00	0.32	0.42	0.00	0.00	0.00
KN805639.1	344735	0.12	0.00	0.00	0.00	0.00	0.00	0.48	0.00
KN805639.1	344757	0.21	0.03	0.00	0.00	0.00	0.00	0.65	0.00
KN805639.1	344762	0.12	0.15	0.41	0.00	0.22	0.00	0.48	0.00
KN805639.1	349715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349819	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00
KN805639.1	349822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	349834	0.00	0.00	0.20	0.00	0.00	0.00	0.18	0.00
KN805639.1	350081	0.41	0.19	0.00	0.00	0.26	0.00	0.00	0.00
KN805639.1	350085	0.00	0.13	0.00	0.00	0.45	0.03	0.01	0.00
KN805639.1	350108	0.00	0.00	0.00	0.00	0.01	0.00	0.30	0.00
KN805639.1	350112	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805639.1	350113	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
KN805639.1	355313	0.01	0.28	0.00	0.00	0.00	0.00	0.14	0.00
KN805639.1	384727	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384760	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384769	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384793	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	384796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412961	0.01	0.03	0.01	0.08	0.00	0.02	0.03	0.00
KN805639.1	412981	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412983	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	412993	0.45	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	413005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	415160	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
KN805639.1	416198	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
KN805639.1	416259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416267	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	416285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805639.1	437513	0.59	0.65	0.14	0.00	0.00	0.00	0.21	0.00
KN805639.1	437520	0.32	0.98	0.89	0.99	0.35	1.00	0.74	0.01
KN805639.1	437561	0.11	0.97	0.96	0.00	0.11	0.00	0.53	0.01
KN805639.1	465720	0.39	0.00	0.00	0.00	0.00	0.00	0.03	0.00
KN805639.1	465737	0.00	0.00	0.00	0.00	0.32	0.15	0.00	0.00
KN805639.1	547699	0.00	0.11	0.00	0.00	0.00	0.21	0.00	0.00
KN805640.1	113641	0.00	0.00	0.00	0.01	0.07	0.25	0.17	0.00
KN805640.1	113862	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	113871	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805640.1	113884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	113886	0.00	0.00	0.00	0.01	0.00	0.00	0.08	0.00
KN805640.1	160877	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	160892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	160895	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	160920	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00
KN805640.1	160924	0.00	0.08	0.00	0.01	0.00	0.00	0.00	0.00
KN805640.1	160953	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	189631	0.35	0.11	0.27	0.00	0.00	0.91	0.17	0.00
KN805640.1	189635	0.00	0.00	0.19	1.00	0.00	0.19	0.00	0.00
KN805640.1	189638	0.26	0.24	0.00	1.00	1.00	0.18	0.03	0.00
KN805640.1	189669	0.16	0.00	0.00	0.00	0.00	0.00	0.19	0.00
KN805640.1	236359	0.00	0.00	0.11	0.00	0.19	0.00	0.00	0.00
KN805640.1	236381	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805640.1	236393	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805640.1	236396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	236425	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262822	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805640.1	262848	0.00	0.00	0.00	0.00	0.14	0.25	0.00	0.00
KN805640.1	262851	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805640.1	262853	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262872	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262878	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262893	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262896	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	262907	0.07	0.14	0.01	0.00	0.00	0.00	0.00	0.00
KN805640.1	285656	0.21	0.00	0.13	0.00	0.08	0.00	0.00	0.01
KN805640.1	285665	0.00	0.44	0.27	0.00	0.00	0.00	0.57	0.00
KN805640.1	285666	0.33	0.07	0.00	0.00	0.00	0.00	0.20	0.01
KN805640.1	285709	0.31	0.12	0.00	0.00	0.18	0.00	0.37	0.02
KN805640.1	285723	0.00	0.10	0.00	0.00	0.17	0.00	0.00	0.00
KN805640.1	285787	0.08	0.13	0.06	0.00	0.23	0.00	0.08	0.00
KN805640.1	285788	0.00	0.08	0.20	0.00	0.00	0.00	0.09	0.00
KN805640.1	285842	0.00	0.19	0.05	0.01	0.10	0.00	0.00	0.00
KN805640.1	285916	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01
KN805640.1	285919	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
KN805640.1	285931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	286279	0.00	0.00	0.09	0.00	0.01	0.00	0.00	0.00
KN805640.1	286282	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
KN805640.1	286288	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	286295	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
KN805640.1	286307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	286312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	286327	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	309642	0.00	0.00	0.06	0.00	0.00	0.00	0.20	0.00
KN805640.1	309659	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	309676	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
KN805640.1	317792	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	317795	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805640.1	317798	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	317807	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	317826	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	318068	0.11	0.00	0.00	0.00	0.08	0.00	0.13	0.00
KN805640.1	318071	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	318112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	318114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	318116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805640.1	495545	0.01	0.07	0.00	0.00	0.00	0.11	0.01	0.00
KN805640.1	495557	0.00	0.13	0.00	0.00	0.08	0.00	0.00	0.00
KN805640.1	495602	0.00	0.07	0.00	0.00	0.08	0.00	0.00	0.01
KN805640.1	524352	0.00	0.03	0.00	0.00	0.00	0.01	0.13	0.00
KN805641.1	10495	0.31	0.27	0.40	0.40	0.22	0.07	0.52	0.04
KN805641.1	10542	0.97	0.96	0.99	0.98	0.98	0.75	0.95	0.08
KN805641.1	10543	1.00	0.85	1.00	1.00	1.00	1.00	0.94	0.07
KN805641.1	22520	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	22521	0.12	0.00	0.28	0.03	0.24	0.04	0.01	0.00
KN805641.1	22533	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	22547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	22550	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	22648	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	22655	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00
KN805641.1	26284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	26295	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
KN805641.1	26344	0.46	0.00	0.01	0.00	0.16	0.00	0.00	0.00
KN805641.1	30895	0.98	0.74	0.80	1.00	0.81	0.76	0.86	0.99
KN805641.1	35004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805641.1	35016	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35017	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35021	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35026	0.00	0.00	0.18	0.00	0.01	0.01	0.03	0.00
KN805641.1	35027	0.13	0.10	0.10	0.00	0.01	0.01	0.00	0.01
KN805641.1	35034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	35079	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN805641.1	35083	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805641.1	35093	0.00	0.23	0.00	0.00	0.00	0.16	0.00	0.00
KN805641.1	35142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	44695	0.00	0.53	0.47	0.00	0.00	0.35	0.97	0.00
KN805641.1	44863	0.12	0.00	0.48	0.00	0.00	0.35	0.00	0.00
KN805641.1	57366	0.12	0.08	0.12	0.08	0.07	0.03	0.09	0.42
KN805641.1	164570	0.84	0.66	0.49	0.00	0.97	0.92	0.91	0.01
KN805641.1	204006	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00
KN805641.1	204011	0.00	0.00	0.27	0.00	0.00	0.01	0.13	0.00
KN805641.1	204020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	287571	0.89	0.75	0.78	0.47	0.80	0.75	0.74	0.58
KN805641.1	319491	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805641.1	319496	0.00	0.00	0.00	0.00	0.00	0.00	0.02	1.00
KN805641.1	319508	0.00	0.00	0.01	0.00	0.14	0.00	0.00	0.00
KN805641.1	319538	0.01	0.14	0.00	0.00	0.13	0.00	0.22	0.00
KN805641.1	319595	0.01	0.00	0.00	0.10	0.00	0.00	0.00	0.00
KN805641.1	319606	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	319620	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805641.1	319623	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	319636	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	379950	0.32	0.15	0.23	0.00	0.76	0.74	0.82	0.00
KN805641.1	408562	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805641.1	496405	0.00	0.09	0.00	0.00	0.00	0.22	0.00	0.08
KN805641.1	496406	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00
KN805641.1	497182	0.00	0.00	0.14	0.00	0.00	0.00	0.01	0.00
KN805641.1	499887	0.12	0.00	0.15	0.00	0.15	0.00	0.00	0.00
KN805641.1	500010	0.00	0.03	0.18	0.00	0.00	0.14	0.38	0.00
KN805641.1	500030	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00
KN805641.1	500069	0.00	0.00	0.14	0.00	0.35	0.44	0.00	0.00
KN805642.1	9479	0.89	0.77	0.72	0.95	0.98	0.46	0.82	0.52
KN805642.1	9526	0.20	0.24	0.21	0.10	0.22	0.03	0.29	0.00
KN805642.1	21989	0.05	0.00	0.00	0.00	0.00	0.01	0.00	0.01
KN805642.1	22032	0.48	0.30	0.62	0.00	0.00	0.21	0.03	0.05
KN805642.1	22039	0.64	0.15	0.43	0.00	0.20	0.21	0.20	0.04
KN805642.1	30240	0.68	0.56	0.67	0.00	0.56	0.73	0.61	1.00
KN805642.1	121340	0.53	0.09	0.46	0.09	0.00	0.94	0.04	1.00
KN805642.1	216928	0.69	1.00	0.80	1.00	1.00	1.00	1.00	1.00
KN805642.1	219930	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00
KN805642.1	219956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	320485	0.00	0.39	0.28	0.00	0.00	0.31	0.51	0.01
KN805642.1	320503	0.00	0.63	0.00	0.00	0.00	0.00	0.96	0.01
KN805642.1	320506	0.00	0.00	0.28	0.00	0.37	0.31	0.52	0.02
KN805642.1	320512	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.01
KN805642.1	320539	0.00	0.24	0.00	0.00	0.32	0.00	0.00	0.00
KN805642.1	320548	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	320556	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00
KN805642.1	320577	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	383630	0.01	0.02	0.08	0.00	0.00	0.14	0.07	0.00
KN805642.1	383635	0.00	0.00	0.00	0.00	0.11	0.01	0.02	0.00
KN805642.1	383638	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00
KN805642.1	383661	0.00	0.03	0.00	0.00	0.01	0.03	0.05	0.00
KN805642.1	428406	0.56	0.15	0.04	0.20	0.41	0.68	0.70	0.01
KN805642.1	447231	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447293	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447305	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01
KN805642.1	447311	0.00	0.00	0.00	0.00	0.51	0.22	0.10	0.00
KN805642.1	447318	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447683	0.00	0.15	0.00	0.00	0.01	0.00	0.00	0.00
KN805642.1	447689	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
KN805642.1	447701	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805642.1	447717	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
KN805642.1	447739	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
KN805642.1	447747	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00
KN805642.1	447753	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
KN805642.1	447785	0.00	0.18	0.00	0.01	0.00	0.17	0.00	0.00
KN805642.1	447794	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
KN805642.1	447827	0.01	0.00	0.00	0.00	0.00	0.14	0.00	0.00
KN805642.1	447886	0.00	0.00	0.00	0.01	0.24	0.00	0.25	0.00
KN805642.1	447906	0.01	0.59	0.00	0.00	0.49	0.11	0.06	0.00
KN805643.1	5990	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805643.1	100142	0.00	0.00	0.00	1.00	0.51	0.00	0.00	0.00
KN805643.1	100161	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00
KN805643.1	143267	1.00	1.00	0.00	0.00	0.00	0.00	0.14	0.00
KN805643.1	143283	1.00	0.00	0.24	0.99	0.00	0.00	0.14	1.00
KN805643.1	171018	0.60	0.57	0.83	0.09	0.86	0.71	0.66	0.16
KN805643.1	171050	0.49	0.90	0.73	0.95	0.74	0.93	0.58	0.99
KN805643.1	171057	0.78	0.96	0.64	0.94	0.72	0.93	0.53	0.99
KN805643.1	171063	0.74	0.91	0.83	1.00	0.74	0.93	0.56	0.09
KN805643.1	306111	0.02	0.10	0.34	0.19	0.07	0.14	0.00	0.86
KN805643.1	520998	0.01	0.09	0.06	0.00	0.00	0.00	0.07	0.00
KN805643.1	542360	0.98	0.94	0.87	1.00	0.63	1.00	0.67	1.00
KN805643.1	542370	0.95	0.66	0.83	0.00	0.80	1.00	0.69	1.00
KN805643.1	542375	0.71	0.56	0.77	1.00	0.64	0.03	0.73	0.06
KN805643.1	542393	0.89	0.63	0.74	0.99	0.70	1.00	0.74	0.96
KN805643.1	543177	0.29	0.03	0.67	0.00	0.28	0.30	0.54	0.00
KN805643.1	563536	0.02	0.56	0.42	0.00	0.41	0.66	0.60	0.33
KN805644.1	25904	0.94	0.62	0.97	0.99	0.30	0.35	0.61	0.09
KN805644.1	58555	0.83	0.96	1.00	1.00	0.99	0.66	0.98	1.00
KN805644.1	58798	0.64	0.26	0.59	0.02	0.52	0.73	0.42	0.42
KN805644.1	72139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	72144	0.00	0.00	0.00	0.00	0.04	0.17	0.00	0.00
KN805644.1	72154	0.00	0.31	0.00	0.01	0.00	0.00	0.00	0.00
KN805644.1	72159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	72466	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
KN805644.1	72467	0.07	0.09	0.17	0.39	0.05	0.04	0.04	0.09
KN805644.1	241392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	241523	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	477722	0.00	0.03	0.01	0.16	0.05	0.06	0.07	0.04
KN805644.1	477983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	477986	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00
KN805644.1	477993	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805644.1	478005	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
KN805644.1	478013	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478015	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
KN805644.1	478018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478164	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00
KN805644.1	478205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478214	0.00	0.08	0.14	0.00	0.09	0.33	0.01	0.00
KN805644.1	478356	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478371	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.47
KN805644.1	478380	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478383	0.27	0.00	0.00	0.00	0.00	0.00	0.07	0.00
KN805644.1	478398	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01
KN805644.1	478407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478414	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01
KN805644.1	478420	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.02
KN805644.1	478422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	478432	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.01
KN805644.1	478437	0.00	0.17	0.00	0.00	0.00	0.00	0.47	0.00
KN805644.1	479533	0.48	0.29	0.27	0.00	0.32	0.96	0.77	0.00
KN805644.1	479534	0.04	0.07	0.04	1.00	0.13	0.00	0.19	1.00
