chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN805768.1	152051	0.68	0.40	0.65	0.71	0.94	0.73
KN805776.1	46592	0.95	0.98	0.75	0.91	0.95	0.98
KN805776.1	46619	0.89	0.97	0.75	0.91	0.95	0.98
KN805776.1	46627	0.91	0.97	0.94	0.55	1.00	0.90
KN805776.1	253072	0.58	0.76	0.52	0.91	0.71	0.50
KN805776.1	253078	0.44	0.76	0.62	0.77	0.81	0.47
KN805776.1	290467	0.66	0.15	0.14	0.58	0.26	0.19
KN805776.1	299525	0.16	0.43	1.00	0.17	0.18	0.50
KN805776.1	425973	0.97	0.67	0.34	0.98	0.93	1.00
KN805776.1	425989	1.00	0.94	1.00	0.89	1.00	1.00
KN805776.1	425995	0.92	1.00	1.00	0.88	1.00	1.00
KN805776.1	425999	0.92	1.00	1.00	0.74	0.49	1.00
KN805776.1	426003	1.00	0.80	0.90	0.89	0.35	1.00
KN805780.1	6586	0.94	1.00	1.00	0.87	0.88	1.00
KN805780.1	6590	0.97	1.00	1.00	0.98	0.97	1.00
KN805780.1	6600	0.94	1.00	1.00	0.98	0.41	0.93
KN805780.1	6628	0.83	0.83	1.00	0.97	0.12	1.00
KN805781.1	176722	0.85	0.47	0.36	0.60	0.57	0.43
KN805781.1	177082	0.76	0.60	0.31	0.52	0.71	0.79
KN805781.1	185614	0.67	0.87	1.00	0.87	0.61	0.64
KN805781.1	185621	0.57	0.87	1.00	0.84	0.57	0.55
KN805781.1	185634	0.70	0.80	1.00	0.88	0.57	0.73
KN805781.1	185653	0.66	0.67	1.00	0.69	0.68	0.57
KN805785.1	131847	0.62	0.25	0.51	0.81	0.36	0.63
KN805785.1	131857	0.72	0.33	0.72	0.91	0.63	0.61
KN805785.1	158568	0.61	0.61	0.42	0.62	0.61	0.59
KN805787.1	177239	0.80	0.14	0.27	0.32	0.53	0.31
KN805787.1	177263	0.78	0.85	0.64	0.89	0.93	0.91
KN805787.1	177282	0.93	1.00	0.84	0.98	1.00	0.91
KN805787.1	321503	0.71	0.40	0.64	0.60	0.25	0.51
KN805789.1	30266	0.48	0.70	0.59	0.38	0.40	0.67
KN805789.1	30275	0.93	0.96	0.12	0.93	0.88	0.77
KN805789.1	30284	0.93	0.96	1.00	0.57	0.65	0.83
KN805789.1	106287	0.73	0.18	0.10	0.50	0.35	0.21
KN805790.1	92130	0.29	0.20	0.12	0.30	0.62	0.88
KN805792.1	275309	0.78	0.24	0.47	0.67	0.79	0.80
KN805792.1	275318	0.75	0.24	0.47	0.71	0.82	0.30
KN805792.1	275392	0.79	0.34	0.54	0.83	0.91	0.85
KN805792.1	297107	0.79	0.27	0.48	0.65	0.59	0.67
KN805793.1	352652	1.00	0.81	1.00	0.64	0.96	0.27
KN805793.1	352656	0.55	0.50	0.48	0.62	0.21	0.25
KN805793.1	352663	1.00	0.71	0.95	0.69	0.96	0.23
KN805795.1	416180	0.62	0.30	0.51	0.52	0.44	0.53
KN805795.1	416190	0.72	0.20	0.72	0.60	0.58	0.53
KN805796.1	377712	0.68	0.97	0.95	0.97	0.97	0.98
KN805796.1	377718	0.90	0.98	0.89	0.72	0.89	0.92
KN805798.1	232317	0.96	0.59	1.00	0.85	0.97	0.72
KN805798.1	232349	0.93	0.86	0.98	0.86	0.88	0.45
KN805798.1	232351	0.96	0.71	1.00	0.78	0.91	0.83
KN805798.1	232356	0.96	1.00	1.00	1.00	0.97	0.73
KN805800.1	295889	0.92	0.15	1.00	0.25	0.29	1.00
KN805801.1	13963	0.91	0.12	1.00	0.96	0.61	0.88
KN805801.1	104784	0.62	0.30	0.51	0.55	0.44	0.53
KN805801.1	104794	0.72	0.20	0.72	0.62	0.58	0.53
KN805802.1	153946	0.73	0.50	0.55	0.56	0.70	0.64
KN805802.1	153993	0.86	0.44	0.58	0.61	0.70	0.64
KN805802.1	365537	0.29	0.56	0.79	0.54	0.62	0.60
KN805806.1	139186	1.00	0.97	0.95	0.77	0.93	0.87
KN805806.1	139188	1.00	0.97	0.95	1.00	0.93	0.97
KN805806.1	149498	0.61	1.00	1.00	1.00	0.42	1.00
KN805806.1	202789	0.78	0.84	0.68	0.91	0.98	0.79
KN805806.1	202796	0.56	0.47	0.57	0.50	0.75	0.44
KN805807.1	268892	0.81	1.00	0.23	0.95	0.65	0.80
KN805809.1	251151	0.70	0.19	0.91	0.67	0.17	0.19
KN805810.1	406757	0.73	0.73	0.82	0.88	0.27	0.87
KN805810.1	407462	0.57	0.75	0.83	0.50	0.67	0.70
KN805811.1	182570	0.42	0.97	0.46	0.81	0.81	0.90
KN805812.1	171345	0.72	0.53	0.38	0.52	0.58	0.78
KN805813.1	135667	0.67	0.73	0.96	0.57	0.72	0.82
KN805813.1	135717	0.86	0.64	0.91	0.52	0.86	0.91
KN805813.1	135749	0.84	0.73	1.00	0.54	0.93	0.72
KN805813.1	135751	0.88	1.00	1.00	0.83	0.95	0.97
KN805813.1	135756	0.95	0.73	0.77	0.93	0.95	0.97
KN805813.1	135762	0.95	1.00	1.00	0.97	0.98	0.99
KN805813.1	157881	0.76	1.00	0.92	0.91	0.90	0.93
KN805813.1	157887	0.75	0.93	0.83	0.50	0.88	0.88
KN805813.1	157888	0.76	1.00	0.92	1.00	0.81	0.80
KN805813.1	425053	0.89	0.90	0.74	0.93	0.99	0.90
KN805819.1	86179	0.95	1.00	1.00	0.97	0.95	0.90
KN805819.1	86186	0.64	1.00	1.00	0.99	0.79	0.75
KN805819.1	86200	0.73	1.00	1.00	0.99	1.00	0.90
KN805820.1	318141	0.90	0.98	1.00	0.78	0.79	0.88
KN805821.1	1965707	0.86	0.91	0.83	0.89	0.99	0.95
KN805821.1	1965725	0.84	0.52	0.33	0.85	0.70	0.90
KN805821.1	2434717	0.72	0.15	0.10	0.50	0.36	0.75
KN805821.1	2741471	0.89	0.90	0.64	0.97	0.82	0.22
KN805822.1	629543	0.95	0.60	0.50	0.52	0.67	0.90
KN805822.1	679700	0.46	0.10	0.15	0.53	0.41	0.55
KN805822.1	679734	0.73	0.57	1.00	0.92	0.77	0.90
KN805822.1	1833667	0.67	0.88	0.78	0.97	0.36	0.89
KN805822.1	2580726	0.65	0.80	0.45	0.68	0.69	0.71
KN805822.1	2694114	1.00	1.00	1.00	0.75	1.00	0.97
KN805822.1	3398765	0.50	0.96	0.50	0.20	0.68	1.00
KN805823.1	175056	0.95	0.88	0.75	0.81	0.89	0.91
KN805823.1	175064	0.92	0.81	0.67	0.71	0.89	0.93
KN805823.1	278350	0.56	0.55	0.50	0.79	0.74	0.91
KN805823.1	340791	0.82	0.25	1.00	0.38	0.68	0.82
KN805827.1	127526	0.37	0.78	0.81	0.79	0.75	0.46
KN805827.1	127698	0.98	0.94	1.00	0.95	0.90	0.82
KN805827.1	127707	0.98	0.94	0.73	0.95	0.97	0.89
KN805827.1	127716	0.39	0.93	0.73	0.67	0.72	0.67
KN805827.1	257961	0.97	1.00	1.00	0.97	0.96	0.92
KN805827.1	257969	0.90	0.96	1.00	0.97	0.96	0.66
KN805827.1	314761	1.00	0.89	0.12	1.00	0.55	0.98
KN805828.1	332144	0.91	0.60	0.50	0.52	0.67	0.89
KN805828.1	335329	0.89	0.27	1.00	0.85	0.70	0.92
KN805828.1	335367	0.88	0.74	0.29	0.91	0.91	0.99
KN805828.1	375129	0.86	0.91	0.30	0.20	0.56	0.77
KN805830.1	13410	0.75	0.64	0.67	0.93	0.62	0.61
KN805832.1	288105	0.33	0.22	0.26	0.14	0.25	0.13
KN805837.1	27291	0.87	0.82	0.42	0.90	0.78	0.88
KN805837.1	27313	0.93	1.00	1.00	0.89	0.81	0.98
KN805837.1	27326	0.93	1.00	0.60	0.89	0.86	0.98
KN805837.1	27329	0.93	0.70	1.00	0.92	0.86	0.93
KN805837.1	27381	0.55	0.69	1.00	0.90	0.78	0.91
KN805837.1	27402	0.53	0.81	0.95	0.85	0.63	0.85
KN805837.1	27408	0.53	0.93	0.95	0.94	0.91	0.89
KN805837.1	53696	0.39	0.58	1.00	0.73	0.24	0.56
KN805840.1	181979	1.00	1.00	1.00	0.94	0.95	0.98
KN805840.1	297000	1.00	1.00	1.00	0.68	0.80	0.65
KN805849.1	61378	0.71	0.29	0.40	0.61	0.62	0.62
KN805850.1	160251	0.22	0.31	0.31	0.10	0.25	0.33
KN805854.1	4780	0.48	0.88	0.33	0.53	0.66	0.16
KN805854.1	380298	0.82	0.88	0.88	0.97	0.52	0.77
KN805855.1	227772	0.89	1.00	0.91	0.91	0.95	0.94
KN805855.1	227792	0.86	0.91	0.90	0.86	0.83	1.00
KN805855.1	230737	0.91	0.62	0.50	1.00	0.98	0.92
KN805855.1	236531	0.75	0.84	0.79	0.31	0.24	0.12
KN805858.1	45690	0.58	0.40	0.75	0.34	0.87	0.74
KN805858.1	45729	0.84	0.27	1.00	1.00	0.67	0.80
KN805858.1	141856	0.72	0.50	0.68	0.69	0.22	0.41
KN805859.1	60650	0.99	0.97	1.00	0.98	0.95	0.98
KN805859.1	60990	0.77	1.00	0.20	0.44	0.99	0.48
KN805860.1	270047	0.55	1.00	0.80	0.98	1.00	0.58
KN805861.1	52378	0.82	0.53	0.75	0.47	0.48	0.67
KN805861.1	52379	0.90	1.00	1.00	0.87	0.90	0.89
KN805862.1	54158	0.91	0.60	0.91	1.00	0.98	0.90
KN805862.1	177965	0.53	1.00	1.00	0.89	0.91	0.97
KN805863.1	264749	1.00	1.00	1.00	1.00	0.53	0.28
KN805864.1	45662	0.83	1.00	1.00	0.45	0.82	0.77
KN805864.1	161690	0.95	1.00	0.30	1.00	1.00	0.17
KN805864.1	161706	0.91	0.94	0.40	1.00	1.00	0.21
KN805864.1	161988	0.97	0.80	0.26	0.92	0.53	0.84
KN805864.1	162013	0.98	1.00	1.00	0.88	0.91	0.81
KN805864.1	249411	0.82	1.00	0.60	0.75	0.85	0.70
KN805864.1	249416	0.88	1.00	1.00	0.75	0.92	0.81
KN805864.1	249450	0.71	0.83	0.80	0.75	0.62	0.62
KN805867.1	123427	0.46	0.88	0.43	0.52	0.68	0.16
KN805868.1	6109	0.36	0.10	0.45	0.51	0.11	0.21
KN805868.1	6416	0.72	1.00	0.80	0.90	0.96	0.79
KN805868.1	73821	0.65	0.84	1.00	0.88	0.79	0.90
KN805868.1	73840	0.65	0.91	1.00	0.92	0.74	0.90
KN805868.1	73853	0.58	0.98	1.00	0.92	0.74	0.23
KN805868.1	73860	0.58	0.98	1.00	0.95	0.40	0.26
KN805870.1	115259	0.94	0.36	1.00	0.89	0.40	0.88
KN805870.1	423564	0.96	0.70	0.88	0.98	0.94	0.91
KN805872.1	158469	0.96	0.90	0.90	0.77	0.87	0.88
KN805873.1	282	0.78	0.52	0.80	0.79	0.66	0.76
KN805873.1	356	0.97	1.00	1.00	1.00	0.83	0.96
KN805873.1	76010	1.00	0.95	0.10	0.59	0.93	1.00
KN805873.1	89425	0.41	0.56	1.00	0.60	1.00	0.52
KN805873.1	176121	1.00	0.93	1.00	1.00	0.93	0.97
KN805874.1	102033	1.00	1.00	1.00	1.00	1.00	0.98
KN805874.1	102038	0.96	1.00	1.00	1.00	1.00	0.50
KN805874.1	102040	1.00	1.00	1.00	0.97	1.00	0.96
KN805874.1	102072	1.00	1.00	1.00	1.00	1.00	0.35
KN805877.1	206784	0.48	0.88	0.33	0.52	0.66	0.16
KN805883.1	128139	0.11	0.92	0.45	0.86	0.11	0.26
KN805883.1	128379	1.00	0.91	0.94	0.89	0.93	0.84
KN805888.1	262853	1.00	1.00	1.00	0.88	0.89	1.00
KN805888.1	262866	1.00	1.00	1.00	0.88	0.89	0.59
KN805888.1	335282	0.71	0.14	0.28	0.54	0.72	0.93
KN805888.1	335313	0.71	0.14	0.43	0.66	0.79	0.89
KN805888.1	335325	0.84	0.12	0.69	0.94	0.83	0.94
KN805889.1	320761	0.88	0.25	1.00	0.38	0.71	0.84
KN805891.1	312371	0.80	0.88	0.71	0.98	1.00	0.78
KN805891.1	312383	0.80	0.88	0.86	0.98	1.00	0.89
KN805892.1	91729	0.81	0.50	1.00	0.17	0.82	0.29
KN805894.1	224869	0.34	0.24	0.33	0.45	0.35	0.36
KN805896.1	153882	0.52	1.00	1.00	0.89	0.91	0.97
KN805897.1	94541	0.85	0.93	0.70	0.85	0.80	0.92
KN805899.1	46037	0.66	0.92	0.78	0.75	0.68	0.76
KN805900.1	274041	0.80	0.26	0.76	0.59	0.43	0.65
KN805901.1	274218	0.60	0.18	0.14	0.52	0.38	0.64
KN805906.1	57041	0.83	1.00	0.20	0.89	0.96	0.26
KN805906.1	57079	0.92	1.00	1.00	0.94	0.96	0.89
KN805906.1	286635	0.90	0.82	0.73	0.76	0.93	0.84
KN805906.1	317626	1.00	0.98	1.00	1.00	1.00	0.17
KN805908.1	287930	0.62	1.00	1.00	0.57	1.00	0.59
KN805908.1	287936	0.99	0.96	1.00	0.67	1.00	0.64
KN805910.1	3444	0.69	0.81	1.00	0.88	0.91	0.95
KN805910.1	3449	0.65	0.77	0.76	0.93	0.89	0.91
KN805910.1	3451	0.74	0.81	0.66	0.90	0.93	0.89
KN805910.1	3483	0.72	0.61	0.88	0.80	0.63	0.81
KN805916.1	46885	0.86	0.62	0.73	0.67	0.92	0.72
KN805916.1	310286	0.37	0.50	0.65	0.65	0.44	0.48
KN805940.1	197889	0.27	0.18	0.32	0.18	0.30	0.13
KN805941.1	191603	1.00	1.00	1.00	1.00	1.00	0.98
KN805941.1	191623	1.00	1.00	1.00	1.00	1.00	0.98
KN805941.1	270510	0.86	0.83	0.15	0.60	0.53	0.63
KN805942.1	44868	0.84	0.46	0.95	0.96	0.99	0.93
KN805945.1	62236	0.80	0.48	0.74	0.84	0.96	0.92
KN805947.1	115082	0.97	0.86	0.92	0.82	0.92	0.85
KN805947.1	115129	0.76	0.78	0.77	0.85	0.58	0.55
KN805950.1	254153	0.83	0.81	0.94	0.95	0.69	0.87
KN805950.1	254177	1.00	0.76	0.94	0.90	0.74	0.86
KN805954.1	65895	0.56	0.85	0.48	0.50	0.12	0.22
KN805957.1	183943	0.96	1.00	0.98	0.52	0.86	0.98
KN805961.1	8823	0.98	0.88	0.78	1.00	0.64	0.95
KN805961.1	8831	0.99	0.81	0.68	0.91	0.81	0.85
KN805962.1	82678	0.91	1.00	0.90	0.89	1.00	0.92
KN805962.1	82684	0.95	0.60	0.90	0.95	0.82	0.92
KN805962.1	82705	0.86	1.00	0.90	0.95	0.91	0.92
KN805962.1	240930	0.89	0.73	0.75	0.76	0.85	0.92
KN805962.1	240937	0.91	0.93	0.89	0.90	0.84	0.87
KN805964.1	58434	0.42	0.40	0.40	0.64	0.35	0.89
KN805965.1	61524	0.83	0.61	1.00	0.77	0.71	0.89
KN805965.1	61554	0.77	0.88	0.77	0.37	0.72	0.12
KN805965.1	97867	0.35	0.57	1.00	0.82	0.67	0.75
KN805965.1	97886	0.78	0.79	1.00	0.93	0.59	0.75
KN805965.1	97899	0.29	0.93	1.00	0.89	0.59	0.58
KN805965.1	97906	0.76	0.93	1.00	0.96	0.62	0.67
KN805968.1	13274	0.88	0.25	1.00	0.38	0.71	0.84
KN805972.1	44319	0.10	0.11	0.53	0.76	0.65	0.62
KN805972.1	47377	0.10	0.11	0.53	0.69	0.65	0.62
KN805972.1	111412	0.13	0.11	0.53	0.85	0.65	0.61
KN805972.1	120351	1.00	1.00	1.00	0.19	1.00	1.00
KN805973.1	49890	0.23	0.70	0.33	0.65	0.88	0.50
KN805973.1	49903	0.58	0.61	0.57	0.80	0.75	0.93
KN805973.1	49935	0.65	0.94	0.75	0.82	0.68	0.84
KN805973.1	49942	0.78	0.87	0.88	0.82	0.56	0.94
KN805973.1	49948	0.83	0.79	0.62	0.97	0.74	0.96
KN805973.1	268529	0.17	0.30	0.47	0.21	0.47	0.57
KN805977.1	142182	0.48	0.54	0.72	0.62	0.67	0.52
KN805979.1	43678	0.92	1.00	0.21	1.00	0.72	0.90
KN805982.1	239140	0.94	0.81	1.00	0.57	0.96	1.00
KN805983.1	99901	0.94	0.38	1.00	0.95	0.38	0.89
KN805983.1	103938	0.89	0.81	1.00	0.71	0.80	0.78
KN805986.1	23366	0.93	0.90	0.95	0.97	0.88	1.00
KN805986.1	23374	0.91	0.84	0.91	0.90	0.92	1.00
KN805986.1	23383	0.80	0.84	0.97	0.79	0.84	0.84
KN805986.1	51038	0.50	0.85	1.00	0.69	0.93	0.72
KN805986.1	110850	0.69	0.91	0.62	0.47	0.59	0.94
KN805987.1	158953	0.82	0.48	0.76	0.84	0.95	0.88
KN805987.1	158955	0.65	0.43	0.67	0.84	0.85	0.85
KN805989.1	108984	0.48	0.28	0.47	0.93	0.63	0.42
KN805990.1	96162	0.15	0.50	0.29	0.56	0.52	0.92
KN805993.1	980444	0.96	0.80	1.00	0.96	0.86	0.86
KN805993.1	980450	0.79	0.88	0.50	0.91	0.85	0.88
KN805993.1	980455	0.89	0.92	0.80	0.79	0.90	0.85
KN805993.1	980457	0.80	0.76	0.80	0.82	0.86	0.76
KN805993.1	1496278	0.76	0.93	0.93	0.82	0.35	0.85
KN805993.1	1927814	0.93	1.00	1.00	1.00	1.00	0.97
KN805993.1	2881610	0.95	0.91	0.91	1.00	0.97	0.98
KN805993.1	2881616	0.93	0.91	0.67	1.00	0.91	0.94
KN805993.1	2881621	1.00	0.91	0.83	0.96	0.91	0.96
KN805993.1	2881623	1.00	0.86	1.00	0.92	0.91	0.90
KN805993.1	2881655	0.88	0.82	1.00	0.58	0.76	0.90
KN805994.1	50846	0.86	0.40	0.86	0.81	0.68	0.68
KN805994.1	51022	0.97	0.92	0.60	0.97	0.93	0.81
KN805994.1	51042	0.97	0.92	0.64	0.98	0.93	0.81
KN805994.1	51052	0.88	0.50	0.33	0.88	0.79	0.80
KN805994.1	2346771	0.50	0.67	0.50	0.58	0.73	0.56
KN805994.1	2378522	0.65	0.92	0.76	0.83	0.67	0.83
KN805997.1	122224	0.94	1.00	1.00	0.89	1.00	0.62
KN805997.1	122243	0.78	0.55	1.00	0.96	1.00	1.00
KN805997.1	122248	0.87	1.00	1.00	0.16	1.00	0.68
KN805997.1	122253	1.00	1.00	1.00	1.00	0.92	0.68
KN805998.1	135006	0.88	0.23	0.86	0.83	0.89	0.79
KN805998.1	227470	0.94	0.12	0.14	0.52	0.38	0.25
KN805999.1	16789	0.53	0.75	0.27	0.75	0.46	0.91
KN806000.1	95538	0.56	0.90	0.86	0.90	0.73	0.91
KN806000.1	95542	0.50	0.95	0.82	0.65	0.45	0.88
KN806000.1	95549	0.47	0.82	0.82	0.85	0.50	0.86
KN806000.1	95573	0.15	0.78	0.59	0.69	0.18	0.28
KN806002.1	55062	0.88	0.25	1.00	0.28	0.85	0.84
KN806006.1	206520	0.43	0.47	0.41	0.93	0.58	0.57
KN806011.1	12683	0.37	1.00	0.80	0.89	0.94	0.75
KN806011.1	12688	0.96	0.98	1.00	0.93	0.90	0.89
KN806011.1	12690	0.91	0.95	0.80	0.87	0.86	0.91
KN806011.1	114215	0.38	0.82	0.23	0.23	0.51	0.92
KN806011.1	114232	0.49	0.87	0.33	0.19	0.76	0.92
KN806015.1	11121	0.58	0.99	1.00	0.99	0.81	0.19
KN806015.1	11351	0.93	1.00	0.99	1.00	0.98	0.95
KN806015.1	11368	0.97	1.00	1.00	0.86	0.66	0.96
KN806015.1	136076	0.79	0.88	0.11	0.10	0.13	0.25
KN806015.1	185093	0.77	0.69	0.91	0.77	0.94	0.92
KN806015.1	185101	0.86	0.77	0.88	0.93	0.86	0.94
KN806015.1	185143	0.73	0.88	0.88	0.87	0.82	0.90
KN806015.1	185150	0.78	0.75	0.81	0.76	0.76	0.85
KN806015.1	185202	0.82	0.14	0.94	0.92	0.74	0.84
KN806015.1	247573	0.99	0.50	1.00	1.00	0.83	1.00
KN806015.1	247777	0.72	0.44	0.58	0.43	0.80	0.69
KN806015.1	247801	0.80	0.30	0.67	0.91	0.91	0.99
KN806015.1	247808	0.80	0.40	0.75	0.91	0.73	0.95
KN806019.1	133184	0.95	0.92	0.86	0.88	0.93	0.88
KN806019.1	133233	0.99	0.96	0.93	0.83	0.90	0.90
KN806023.1	141214	0.85	0.90	0.63	0.75	0.64	0.92
KN806023.1	141281	0.87	1.00	0.97	0.98	0.89	1.00
KN806023.1	276774	0.89	0.60	0.47	0.77	0.86	0.88
KN806024.1	105020	0.41	0.12	0.44	0.60	0.76	0.76
KN806024.1	176001	0.29	0.40	0.25	0.10	0.44	0.55
KN806024.1	214526	0.90	1.00	1.00	0.99	0.92	0.94
KN806025.1	205277	0.89	0.69	0.86	0.44	0.70	0.57
KN806031.1	17708	0.57	0.85	0.68	0.84	0.74	0.74
KN806031.1	17723	0.45	0.62	0.68	0.79	0.46	0.74
KN806031.1	18351	0.57	0.96	0.89	0.59	0.83	0.19
KN806031.1	222857	0.86	0.40	0.33	0.94	0.64	0.81
KN806031.1	222870	0.93	0.41	0.78	0.94	0.69	0.78
KN806031.1	222885	0.94	0.41	0.88	0.97	0.63	0.84
KN806032.1	191843	1.00	1.00	1.00	1.00	1.00	1.00
KN806032.1	191947	1.00	1.00	1.00	0.97	0.71	1.00
KN806034.1	41856	0.74	0.67	0.43	0.83	0.58	0.74
KN806041.1	214022	1.00	1.00	0.96	1.00	1.00	0.95
KN806041.1	214044	1.00	1.00	1.00	1.00	1.00	0.46
KN806041.1	214048	1.00	1.00	1.00	1.00	1.00	1.00
KN806041.1	214065	0.89	0.93	1.00	0.90	0.81	0.98
KN806046.1	85449	0.79	0.97	1.00	0.90	0.80	0.97
KN806046.1	85471	0.93	0.94	1.00	0.90	0.88	1.00
KN806046.1	85484	0.93	0.64	0.80	0.90	0.88	1.00
KN806046.1	85487	0.24	0.90	1.00	0.90	0.86	0.30
KN806046.1	108293	0.83	0.76	0.42	0.79	0.67	0.85
KN806054.1	119047	0.99	0.22	1.00	0.85	0.55	0.92
KN806055.1	77190	0.45	0.82	1.00	0.96	1.00	0.97
KN806055.1	77198	1.00	0.86	0.86	0.96	0.85	0.89
KN806055.1	77206	0.52	0.91	0.79	0.91	1.00	1.00
KN806055.1	77248	1.00	0.79	1.00	0.83	0.97	0.95
KN806055.1	77255	0.84	0.83	1.00	0.76	0.97	0.91
KN806055.1	141947	0.88	0.74	0.78	0.68	0.75	0.79
KN806059.1	88694	0.53	0.42	0.30	0.48	0.50	0.86
KN806062.1	162802	0.99	0.93	0.23	1.00	0.10	0.50
KN806065.1	178504	0.89	0.60	0.47	0.48	0.86	0.87
KN806069.1	119810	0.80	1.00	1.00	0.92	0.65	1.00
KN806069.1	119821	0.76	1.00	1.00	0.97	0.89	0.74
KN806072.1	46868	0.76	0.40	0.79	0.52	0.67	0.30
KN806073.1	224568	0.95	1.00	1.00	1.00	1.00	1.00
KN806073.1	224595	0.89	1.00	1.00	0.81	1.00	0.97
KN806073.1	224610	0.67	1.00	0.78	0.63	0.29	0.89
KN806076.1	217873	0.33	0.96	0.53	0.86	0.59	0.79
KN806076.1	217918	0.64	1.00	0.98	0.96	0.85	0.94
KN806078.1	696	0.67	1.00	0.90	0.94	0.95	0.90
KN806078.1	707	0.95	1.00	0.90	0.89	0.95	0.85
KN806078.1	713	0.90	0.75	0.90	0.89	0.90	0.78
KN806078.1	81962	0.70	0.60	0.53	0.63	0.75	0.70
KN806080.1	160602	0.66	1.00	1.00	0.93	1.00	0.90
KN806080.1	160613	0.92	1.00	1.00	0.82	0.78	0.86
KN806087.1	3298	0.67	1.00	0.82	0.63	0.83	1.00
KN806087.1	3318	0.65	1.00	0.76	1.00	0.78	1.00
KN806087.1	233850	1.00	1.00	1.00	1.00	0.98	1.00
KN806087.1	233865	1.00	1.00	1.00	1.00	1.00	1.00
KN806088.1	238	0.95	1.00	1.00	1.00	1.00	1.00
KN806093.1	58468	0.96	0.64	0.50	0.52	0.77	0.87
KN806097.1	168738	0.61	0.59	0.42	0.62	0.61	0.60
KN806101.1	106002	0.45	0.88	0.33	0.52	0.66	0.16
KN806104.1	116058	0.60	0.98	0.30	0.95	0.90	1.00
KN806105.1	174465	0.89	0.85	0.85	0.92	0.87	0.90
KN806105.1	174470	0.86	0.80	0.85	0.88	0.90	0.95
KN806105.1	174472	0.84	0.95	0.69	0.93	0.73	0.81
KN806105.1	174504	0.87	0.68	0.79	0.63	0.98	0.82
KN806108.1	64681	0.35	0.10	0.20	0.25	0.73	0.18
KN806111.1	24777	0.37	0.74	0.86	0.90	0.76	0.96
KN806111.1	24797	0.77	0.74	0.75	0.87	0.52	0.91
KN806111.1	55456	0.73	0.96	1.00	0.95	0.50	0.96
KN806124.1	66764	0.33	0.76	0.54	0.31	0.33	0.62
KN806126.1	111031	1.00	0.93	1.00	0.82	1.00	1.00
KN806126.1	111037	1.00	1.00	1.00	0.76	1.00	1.00
KN806126.1	111041	1.00	1.00	1.00	0.94	1.00	1.00
KN806126.1	111045	1.00	0.76	0.64	0.92	0.92	0.82
KN806126.1	111061	1.00	0.94	1.00	0.84	1.00	1.00
KN806135.1	17806	0.95	1.00	1.00	0.87	0.98	0.91
KN806135.1	17816	0.94	0.64	1.00	0.50	1.00	0.96
KN806135.1	17838	0.95	0.77	0.96	0.88	0.98	0.74
KN806135.1	18007	0.99	0.57	0.89	0.94	0.27	0.63
KN806135.1	18055	0.63	0.40	1.00	0.91	0.70	0.78
KN806137.1	31838	0.96	0.91	0.47	0.97	0.85	0.97
KN806137.1	31858	0.93	1.00	0.72	0.97	0.96	0.96
KN806137.1	31868	0.75	0.33	0.72	0.65	0.71	0.92
KN806138.1	103915	0.69	0.20	0.47	0.84	0.69	0.67
KN806143.1	133291	0.74	1.00	0.90	0.30	0.61	0.50
KN806144.1	81072	0.62	0.30	0.51	0.52	0.44	0.53
KN806144.1	81082	0.72	0.20	0.72	0.60	0.58	0.53
KN806144.1	117923	0.63	0.53	0.24	0.55	0.43	0.64
KN806145.1	4867	0.18	0.40	0.19	0.85	0.90	0.97
KN806148.1	90872	0.99	1.00	0.87	0.82	1.00	0.34
KN806148.1	90884	1.00	1.00	0.47	0.98	0.94	0.96
KN806148.1	90891	1.00	1.00	0.64	0.89	1.00	0.94
KN806148.1	90904	0.42	1.00	0.54	1.00	1.00	1.00
KN806150.1	199428	0.77	0.77	0.75	1.00	0.83	0.89
KN806152.1	52097	0.47	0.18	0.14	0.57	0.35	0.82
KN806152.1	165828	0.45	1.00	1.00	1.00	1.00	0.97
KN806152.1	165845	0.49	1.00	1.00	0.70	0.39	0.95
KN806152.1	190964	0.51	1.00	1.00	0.89	0.91	0.97
KN806153.1	73031	0.10	0.29	1.00	0.51	0.41	0.59
KN806155.1	125297	0.73	1.00	1.00	1.00	1.00	1.00
KN806155.1	125303	1.00	1.00	1.00	0.10	0.55	0.41
KN806155.1	125442	1.00	1.00	1.00	1.00	0.51	1.00
KN806155.1	129505	1.00	0.93	1.00	0.89	0.93	1.00
KN806156.1	139712	0.59	0.50	0.58	0.39	0.26	0.50
KN806157.1	16645	0.91	0.18	0.14	0.52	0.35	0.82
KN806161.1	118571	0.32	1.00	1.00	1.00	0.69	0.64
KN806161.1	118573	0.95	1.00	0.11	0.97	0.64	1.00
KN806162.1	119399	0.57	0.18	1.00	0.64	0.12	0.61
KN806163.1	38285	0.98	0.79	0.16	0.47	1.00	0.87
KN806164.1	192843	0.74	0.92	0.92	0.79	0.48	0.85
KN806164.1	192884	0.59	0.31	0.33	0.52	0.64	0.43
KN806167.1	64962	0.29	0.26	0.22	0.43	0.45	0.20
KN806167.1	154184	0.60	1.00	1.00	1.00	0.72	1.00
KN806168.1	7751	0.28	0.85	0.33	0.53	0.68	0.16
KN806169.1	15721	0.76	0.30	0.51	0.32	0.44	0.84
