chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	1862783	0.75	1.00	0.57	0.24	0.93	0.80	0.25
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3723613	0.75	0.59	0.64	0.73	0.82	0.71	0.76
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	258	0.66	0.72	0.69	0.76	0.69	0.81	1.00
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	272	0.81	0.97	0.75	0.76	0.85	1.00	1.00
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	291	0.72	0.87	0.81	0.86	1.00	0.90	1.00
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	297	0.79	0.95	0.81	0.79	0.96	0.81	1.00
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	173419	0.90	0.52	0.81	0.93	0.97	0.88	0.95
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412750	0.94	0.89	0.72	0.77	0.62	0.98	0.81
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412781	0.92	0.84	0.69	0.68	0.92	0.74	0.90
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134322	0.42	0.53	0.25	0.20	0.37	0.79	0.38
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134343	0.70	0.88	0.87	0.95	0.89	0.94	0.81
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134395	0.94	0.83	0.91	0.87	0.90	0.96	0.93
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134398	0.90	0.81	0.97	0.84	0.86	0.75	0.95
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134411	0.88	0.84	0.97	0.94	0.94	0.88	0.86
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134484	0.57	0.58	0.58	0.59	0.65	0.49	0.36
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134514	0.41	0.42	0.51	0.46	0.47	0.32	0.19
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608504	0.70	0.88	0.81	0.75	0.87	0.67	0.81
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608536	0.74	0.88	0.80	0.67	0.85	0.69	0.74
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608545	0.83	0.98	0.95	0.91	0.90	0.85	0.85
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608553	0.75	0.97	0.98	0.90	0.88	0.89	1.00
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.92	0.95	0.75	0.79	0.88	0.81	0.60
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.95	0.97	0.91	0.84	0.88	0.87	0.88
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.89	0.90	0.93	0.86	0.84	0.90	0.81
KN805611.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805611.1:1:647757:1 REF	56270	0.76	0.78	0.67	0.45	0.92	0.48	0.52
KN805611.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805611.1:1:647757:1 REF	56286	0.81	0.92	1.00	0.53	0.95	0.48	0.48
KN805611.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805611.1:1:647757:1 REF	56315	0.77	0.85	0.98	0.43	0.77	0.59	1.00
KN805611.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805611.1:1:647757:1 REF	491019	0.86	0.50	0.78	0.94	0.96	0.76	0.90
KN805612.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805612.1:1:656281:1 REF	121213	0.67	0.61	0.56	0.65	0.68	0.50	0.59
KN805613.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805613.1:1:670400:1 REF	409772	0.31	0.96	0.14	0.97	1.00	0.55	0.93
KN805613.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805613.1:1:670400:1 REF	409805	0.28	0.99	0.26	0.99	1.00	0.91	1.00
KN805613.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805613.1:1:670400:1 REF	409813	0.17	0.50	0.21	0.97	0.90	0.55	1.00
KN805613.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805613.1:1:670400:1 REF	409817	0.22	0.49	0.24	0.96	0.94	0.55	1.00
KN805614.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805614.1:1:614007:1 REF	269361	0.33	0.15	0.50	0.74	1.00	1.00	0.36
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	218569	0.69	0.72	0.57	0.38	0.88	0.52	0.52
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	218585	0.74	0.90	1.00	0.46	0.93	0.45	0.48
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	218614	0.69	0.81	0.98	0.50	0.66	0.57	1.00
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299263	1.00	0.92	0.88	0.72	0.96	0.97	0.94
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299349	0.83	0.95	0.95	0.97	0.98	0.96	0.96
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299381	0.91	0.95	1.00	0.91	0.89	0.86	0.95
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299383	0.95	1.00	0.96	0.94	0.98	0.89	1.00
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299388	0.82	0.89	0.64	0.94	0.93	0.93	0.98
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299394	1.00	0.98	1.00	0.97	0.98	0.96	1.00
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265558	0.90	0.87	0.48	0.53	0.88	1.00	0.83
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265580	0.53	0.54	0.80	0.76	0.66	0.11	0.92
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	276703	0.66	0.80	1.00	0.44	0.88	0.52	0.45
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	276719	0.76	0.93	1.00	0.53	0.93	0.61	0.40
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	276748	0.73	0.86	0.95	0.48	0.68	0.41	1.00
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	473443	0.77	0.78	0.67	0.38	0.88	0.48	0.50
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	473459	0.80	0.91	1.00	0.46	0.93	0.48	0.50
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	473488	0.76	0.85	0.98	0.50	0.66	0.59	1.00
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	538290	1.00	1.00	0.45	1.00	0.59	1.00	1.00
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	91975	0.49	1.00	1.00	1.00	1.00	1.00	1.00
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	557739	0.91	0.82	0.96	0.86	0.88	0.87	0.69
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	557756	0.88	0.44	0.76	0.59	0.88	0.86	0.78
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	272099	0.59	0.77	0.68	0.82	0.96	0.21	1.00
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	272114	0.86	0.93	0.64	0.79	0.68	0.19	0.43
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	272130	0.93	0.79	0.88	0.64	0.99	0.22	0.43
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	488546	0.94	0.93	0.90	0.85	0.80	0.96	0.67
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	488553	1.00	0.43	0.86	0.76	0.92	0.35	0.43
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	488559	0.21	0.89	0.83	0.73	0.85	0.30	0.67
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	488573	1.00	0.93	0.86	0.80	0.97	0.35	1.00
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	266206	0.97	0.55	0.85	1.00	1.00	0.93	1.00
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	284010	1.00	0.17	0.86	0.42	0.88	0.94	1.00
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	421560	0.95	0.52	0.92	1.00	1.00	0.94	1.00
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	579865	1.00	0.88	0.96	0.95	1.00	1.00	0.73
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	605431	0.52	0.87	0.66	0.97	0.97	0.33	0.87
KN805634.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805634.1:1:639049:1 REF	525015	0.18	0.68	0.84	0.57	0.85	0.44	0.68
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	655365	0.96	0.77	0.92	0.95	0.87	0.31	1.00
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	655490	0.64	0.63	0.77	0.15	0.83	0.79	0.31
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	655561	0.63	0.81	0.83	0.19	0.58	0.64	0.63
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	681975	0.87	0.97	0.94	0.94	0.66	0.87	1.00
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	508944	0.23	0.83	0.29	0.65	0.45	0.26	0.21
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	508965	0.62	0.96	0.82	0.79	0.91	0.83	0.96
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	509017	0.96	0.87	0.96	0.91	0.89	0.91	0.92
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	509020	0.89	0.88	1.00	0.78	0.87	0.82	0.88
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	509033	0.93	0.88	0.96	0.91	0.91	0.91	0.92
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	543928	0.93	0.91	0.78	0.32	0.91	1.00	0.91
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	543969	0.68	0.80	0.82	0.62	0.79	0.70	0.85
KN805637.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805637.1:1:656303:1 REF	53549	0.92	0.95	1.00	0.95	0.93	1.00	0.90
KN805641.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805641.1:1:614587:1 REF	289428	0.67	1.00	1.00	0.66	1.00	0.48	1.00
KN805641.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805641.1:1:614587:1 REF	289449	0.67	1.00	1.00	0.46	0.77	0.48	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	51202	0.93	1.00	1.00	0.11	0.68	1.00	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	51232	0.95	0.80	0.96	0.98	0.60	0.54	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	51242	0.95	0.83	0.98	0.13	0.68	1.00	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	289282	0.79	0.94	0.72	0.90	0.90	0.93	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	289290	0.94	1.00	0.90	0.92	0.95	0.97	0.84
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	289301	0.88	1.00	0.87	0.82	0.87	0.96	1.00
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	289307	0.94	0.94	0.77	0.84	0.89	0.95	0.92
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	480812	0.95	0.94	0.30	0.71	0.95	0.35	0.91
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	480814	0.92	1.00	0.87	0.93	0.98	1.00	0.91
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	480823	0.90	0.88	0.83	0.87	0.95	1.00	1.00
KN805644.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805644.1:1:560476:1 REF	534701	0.37	0.60	0.26	0.96	0.73	0.98	0.98
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	400002	0.86	0.78	1.00	1.00	0.97	0.90	0.94
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	400003	0.68	0.94	0.92	0.94	0.88	1.00	1.00
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	400020	0.99	0.88	0.80	0.95	0.88	0.96	0.92
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	450810	0.77	0.57	0.93	0.67	0.79	0.71	0.83
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476601	0.62	0.73	0.85	0.85	0.90	0.75	0.53
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476606	0.86	0.73	0.73	0.81	0.92	0.83	0.53
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476608	0.57	0.86	0.87	0.72	0.88	0.78	0.52
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476640	0.34	0.43	0.69	0.46	0.58	0.53	0.52
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	329732	0.69	0.72	0.57	0.38	0.88	0.52	0.61
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	329748	0.74	0.90	1.00	0.46	0.93	0.45	0.57
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	329777	0.69	0.81	0.98	0.50	0.66	0.57	1.00
KN805648.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805648.1:1:626606:1 REF	231763	0.69	0.72	0.57	0.38	0.88	0.52	0.52
KN805648.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805648.1:1:626606:1 REF	231779	0.74	0.90	1.00	0.46	0.93	0.45	0.48
KN805648.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805648.1:1:626606:1 REF	231808	0.69	0.81	0.98	0.50	0.66	0.57	1.00
KN805648.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805648.1:1:626606:1 REF	418161	1.00	0.85	0.88	0.78	0.96	0.93	0.82
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	72407	0.68	0.60	1.00	0.72	0.93	0.92	1.00
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	72412	0.73	0.60	0.62	0.72	0.93	0.92	1.00
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	72429	0.76	0.59	1.00	0.40	0.93	0.92	1.00
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	110162	0.94	0.69	0.91	0.61	0.78	0.92	0.20
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	110184	1.00	0.98	0.99	0.72	0.92	0.88	0.23
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	110197	0.35	1.00	0.34	0.70	0.28	0.96	1.00
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	377337	0.93	0.82	0.50	0.93	0.88	1.00	0.87
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	377369	0.95	0.87	0.96	0.95	0.57	0.80	0.97
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	377371	0.93	0.55	0.57	0.97	0.93	0.80	0.98
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	377376	0.98	0.91	0.98	0.84	1.00	0.93	0.38
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	377381	0.97	0.98	0.58	0.95	1.00	1.00	1.00
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	378906	0.19	0.22	0.37	0.68	0.44	0.39	0.62
KN805651.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805651.1:1:563604:1 REF	222217	0.42	0.29	0.80	1.00	0.94	1.00	1.00
KN805652.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805652.1:1:553614:1 REF	541711	0.73	0.78	0.94	0.79	0.58	0.93	0.68
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	247377	0.14	0.36	0.32	0.87	0.22	0.38	0.20
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	247392	0.12	0.63	0.32	0.91	0.20	0.51	0.27
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313272	0.88	0.93	1.00	0.34	1.00	0.79	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313291	0.88	0.83	1.00	1.00	0.92	0.96	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313294	1.00	0.80	1.00	0.93	0.96	0.98	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313296	1.00	0.67	0.89	1.00	0.79	0.98	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313302	1.00	0.90	0.89	1.00	1.00	0.94	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313304	0.27	0.63	1.00	0.97	0.46	0.87	1.00
KN805653.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805653.1:1:555102:1 REF	313313	1.00	0.90	1.00	0.95	0.91	0.98	1.00
KN805657.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805657.1:1:581212:1 REF	152996	0.20	0.33	0.17	0.10	0.22	0.25	0.23
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	19366	0.67	0.75	0.88	0.60	0.51	0.78	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	29269	0.98	1.00	0.98	0.82	1.00	1.00	0.64
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	352017	1.00	0.34	0.65	0.75	0.98	0.61	0.36
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	363183	0.13	0.95	0.71	0.97	0.94	0.50	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	363195	0.16	0.97	0.86	0.97	1.00	0.90	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	363228	0.31	0.97	0.43	0.96	1.00	0.60	0.67
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	532961	0.73	1.00	0.57	0.87	0.89	0.14	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	574127	0.69	0.80	0.94	0.60	0.65	0.78	1.00
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200301	0.58	0.41	0.86	0.94	0.80	0.69	0.94
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200306	0.94	0.95	0.94	0.67	0.83	0.57	0.79
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200312	0.92	0.73	0.98	0.92	0.98	0.74	0.79
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240074	0.13	0.57	0.79	0.95	0.96	0.85	0.83
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240106	0.35	0.67	0.93	0.95	0.96	0.80	0.85
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240108	0.77	1.00	0.95	0.98	0.76	0.60	1.00
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240113	0.72	0.97	0.90	0.98	0.87	0.60	0.77
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240119	0.76	0.99	0.97	0.98	0.95	0.80	0.92
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	37809	0.66	0.56	0.79	0.61	0.79	0.26	1.00
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163546	0.80	0.93	0.92	0.96	0.86	0.97	0.94
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163578	0.71	1.00	1.00	0.93	0.95	0.97	0.97
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163580	0.86	1.00	0.92	1.00	0.91	0.97	0.97
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163585	0.91	1.00	0.92	0.93	0.86	1.00	0.94
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163591	0.92	0.81	1.00	0.93	0.83	0.97	1.00
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	293221	0.85	0.55	0.92	1.00	1.00	0.93	1.00
