chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	3036625	0.74	0.92	0.92	0.92	0.69	0.98
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	3036627	0.77	1.00	0.77	0.67	0.79	0.98
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	3036659	0.94	0.80	0.88	0.84	0.35	0.96
KN805699.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805699.1:1:4006733:1 REF	2394987	0.81	0.41	0.58	0.80	0.82	0.74
KN805700.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805700.1:1:537801:1 REF	434729	0.13	0.11	0.53	0.85	0.65	0.64
KN805703.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805703.1:1:567773:1 REF	264814	0.88	0.25	1.00	0.38	0.77	0.82
KN805703.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805703.1:1:567773:1 REF	435243	0.85	0.96	0.44	0.84	0.33	0.88
KN805703.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805703.1:1:567773:1 REF	493790	0.25	0.40	0.19	0.84	0.90	0.94
KN805705.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805705.1:1:523044:1 REF	463407	0.11	1.00	1.00	0.92	0.56	0.38
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	322618	0.91	0.93	1.00	0.89	0.95	0.89
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	322630	1.00	0.94	0.88	0.94	0.75	0.84
KN805709.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805709.1:1:508242:1 REF	446924	0.22	0.20	0.27	0.14	0.32	0.26
KN805710.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805710.1:1:498470:1 REF	16525	0.89	0.60	0.47	0.48	0.86	0.87
KN805710.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805710.1:1:498470:1 REF	130137	0.33	0.42	0.58	0.94	0.55	0.90
KN805711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805711.1:1:473282:1 REF	156749	0.38	0.18	0.14	0.72	0.27	0.64
KN805711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805711.1:1:473282:1 REF	297944	0.74	0.16	1.00	0.69	0.62	0.69
KN805711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805711.1:1:473282:1 REF	297946	0.47	0.35	1.00	0.72	0.55	0.71
KN805714.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805714.1:1:571504:1 REF	331811	0.97	0.90	0.92	0.82	0.90	0.85
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458776	0.65	1.00	1.00	1.00	0.56	0.53
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458782	0.96	1.00	1.00	0.55	0.98	0.60
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458809	0.61	1.00	1.00	0.97	1.00	1.00
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458815	1.00	0.12	1.00	0.97	0.56	0.92
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458820	0.96	1.00	1.00	0.97	0.49	0.67
KN805717.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805717.1:1:508535:1 REF	118519	0.50	0.96	0.10	0.73	0.83	0.89
KN805717.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805717.1:1:508535:1 REF	118520	0.92	1.00	1.00	0.94	1.00	0.91
KN805717.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805717.1:1:508535:1 REF	118536	1.00	0.67	0.68	0.36	0.93	0.78
KN805721.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805721.1:1:494262:1 REF	203279	0.96	1.00	1.00	0.54	0.10	0.90
KN805724.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805724.1:1:460972:1 REF	95925	0.88	0.97	1.00	0.96	0.97	0.97
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474550	0.84	0.67	0.80	0.58	0.96	0.67
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474582	0.89	0.95	0.70	0.85	0.73	0.88
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474584	0.89	0.84	0.90	0.80	0.92	0.94
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474589	0.89	0.84	0.90	0.95	0.92	0.94
KN805734.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805734.1:1:499554:1 REF	213869	0.56	0.38	0.62	0.84	0.87	0.86
KN805734.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805734.1:1:499554:1 REF	213871	0.68	0.52	0.74	0.84	0.96	0.87
KN805738.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805738.1:1:519975:1 REF	127009	0.20	0.45	0.58	0.83	0.45	0.88
KN805738.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805738.1:1:519975:1 REF	284813	0.96	0.96	0.90	1.00	0.94	1.00
KN805738.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805738.1:1:519975:1 REF	284822	0.96	1.00	0.70	1.00	0.39	1.00
KN805739.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805739.1:1:541555:1 REF	134313	0.86	0.91	0.83	0.88	0.99	0.95
KN805739.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805739.1:1:541555:1 REF	134331	0.84	0.52	0.33	0.89	0.69	0.90
KN805739.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805739.1:1:541555:1 REF	174996	0.88	0.18	0.10	0.59	0.42	0.26
KN805741.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805741.1:1:477986:1 REF	373838	0.86	0.73	0.33	0.56	0.39	0.94
KN805742.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805742.1:1:456052:1 REF	227756	0.93	0.90	0.73	0.70	0.90	0.84
KN805742.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805742.1:1:456052:1 REF	227788	0.68	1.00	0.27	0.83	0.86	0.78
KN805742.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805742.1:1:456052:1 REF	227790	0.77	0.65	0.82	0.97	0.93	0.89
KN805742.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805742.1:1:456052:1 REF	227795	0.73	0.96	0.90	1.00	0.95	0.91
KN805742.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805742.1:1:456052:1 REF	227801	0.73	0.98	0.57	1.00	0.99	0.91
KN805745.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805745.1:1:468821:1 REF	92753	0.37	0.47	0.21	0.17	0.37	0.64
KN805745.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805745.1:1:468821:1 REF	392188	0.55	0.25	0.80	0.80	0.44	0.88
KN805749.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805749.1:1:559994:1 REF	148265	0.69	0.91	0.91	0.86	0.86	0.94
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122053	0.95	0.92	0.86	0.86	0.88	0.77
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122065	0.94	0.97	0.92	0.95	0.97	0.93
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122071	0.91	0.93	0.89	0.79	0.91	0.93
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122078	0.85	0.93	0.97	0.88	0.91	0.93
KN805753.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805753.1:1:418946:1 REF	51744	0.80	0.75	0.55	0.95	0.89	0.94
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	153951	0.28	0.32	0.29	0.50	0.19	0.24
KN805756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805756.1:1:516484:1 REF	107512	0.90	0.75	0.42	0.79	0.67	0.85
KN805756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805756.1:1:516484:1 REF	268727	0.38	1.00	0.96	1.00	0.93	1.00
KN805756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805756.1:1:516484:1 REF	395370	0.33	0.57	0.97	0.57	0.60	0.97
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	59822	0.89	0.60	0.47	0.48	0.86	0.88
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	88213	0.98	0.86	1.00	0.97	0.78	0.87
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268585	0.93	0.29	0.92	0.93	0.85	0.65
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268602	0.54	0.29	1.00	0.93	0.88	0.57
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268607	0.81	0.29	1.00	0.98	1.00	0.59
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268611	0.80	0.29	1.00	0.93	0.78	0.56
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500227	0.74	0.47	0.87	0.67	0.79	0.65
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500236	0.93	1.00	0.95	0.84	0.95	0.89
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500244	0.83	0.73	0.93	0.75	0.93	0.94
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	292874	0.96	0.83	0.65	0.93	0.95	0.92
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	292882	0.96	0.95	0.59	0.85	0.95	0.92
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	369242	0.86	0.38	1.00	0.77	0.90	0.65
KN805764.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805764.1:1:419250:1 REF	129028	0.98	0.98	1.00	0.84	0.87	0.86
KN805765.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805765.1:1:485067:1 REF	289404	1.00	0.70	0.94	1.00	0.95	0.84
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	194539	0.63	0.70	1.00	0.54	0.98	0.97
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	197807	0.61	0.68	0.98	0.55	0.95	1.00
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	215208	0.97	0.93	0.97	0.90	0.92	0.95
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	215230	0.77	0.98	0.93	0.82	0.96	0.83
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	256828	0.16	0.30	0.12	0.49	0.17	0.37
KN805767.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805767.1:1:503040:1 REF	390924	0.74	0.60	0.52	0.86	0.67	0.88
KN805768.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805768.1:1:458380:1 REF	152041	0.38	0.24	0.30	0.65	0.82	0.58
KN805768.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805768.1:1:458380:1 REF	152049	0.45	0.25	0.59	0.68	0.35	0.65
KN805768.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805768.1:1:458380:1 REF	152051	0.68	0.40	0.65	0.71	0.94	0.73
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	46592	0.95	0.98	0.75	0.91	0.95	0.98
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	46619	0.89	0.97	0.75	0.91	0.95	0.98
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	46627	0.91	0.97	0.94	0.55	1.00	0.90
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	253072	0.58	0.76	0.52	0.91	0.71	0.50
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	253078	0.44	0.76	0.62	0.77	0.81	0.47
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	290467	0.66	0.15	0.14	0.58	0.26	0.19
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	299525	0.16	0.43	1.00	0.17	0.18	0.50
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	425973	0.97	0.67	0.34	0.98	0.93	1.00
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	425989	1.00	0.94	1.00	0.89	1.00	1.00
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	425995	0.92	1.00	1.00	0.88	1.00	1.00
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	425999	0.92	1.00	1.00	0.74	0.49	1.00
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	426003	1.00	0.80	0.90	0.89	0.35	1.00
KN805780.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805780.1:1:401879:1 REF	6586	0.94	1.00	1.00	0.87	0.88	1.00
KN805780.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805780.1:1:401879:1 REF	6590	0.97	1.00	1.00	0.98	0.97	1.00
KN805780.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805780.1:1:401879:1 REF	6600	0.94	1.00	1.00	0.98	0.41	0.93
KN805780.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805780.1:1:401879:1 REF	6628	0.83	0.83	1.00	0.97	0.12	1.00
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	176722	0.85	0.47	0.36	0.60	0.57	0.43
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	177082	0.76	0.60	0.31	0.52	0.71	0.79
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185614	0.67	0.87	1.00	0.87	0.61	0.64
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185621	0.57	0.87	1.00	0.84	0.57	0.55
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185634	0.70	0.80	1.00	0.88	0.57	0.73
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185653	0.66	0.67	1.00	0.69	0.68	0.57
KN805785.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805785.1:1:481173:1 REF	131847	0.62	0.25	0.51	0.81	0.36	0.63
KN805785.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805785.1:1:481173:1 REF	131857	0.72	0.33	0.72	0.91	0.63	0.61
KN805785.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805785.1:1:481173:1 REF	158568	0.61	0.61	0.42	0.62	0.61	0.59
KN805787.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805787.1:1:388453:1 REF	177239	0.80	0.14	0.27	0.32	0.53	0.31
KN805787.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805787.1:1:388453:1 REF	177263	0.78	0.85	0.64	0.89	0.93	0.91
KN805787.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805787.1:1:388453:1 REF	177282	0.93	1.00	0.84	0.98	1.00	0.91
KN805787.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805787.1:1:388453:1 REF	321503	0.71	0.40	0.64	0.60	0.25	0.51
KN805789.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805789.1:1:476521:1 REF	30266	0.48	0.70	0.59	0.38	0.40	0.67
KN805789.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805789.1:1:476521:1 REF	30275	0.93	0.96	0.12	0.93	0.88	0.77
KN805789.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805789.1:1:476521:1 REF	30284	0.93	0.96	1.00	0.57	0.65	0.83
KN805789.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805789.1:1:476521:1 REF	106287	0.73	0.18	0.10	0.50	0.35	0.21
KN805790.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805790.1:1:409619:1 REF	92130	0.29	0.20	0.12	0.30	0.62	0.88
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	275309	0.78	0.24	0.47	0.67	0.79	0.80
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	275318	0.75	0.24	0.47	0.71	0.82	0.30
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	275392	0.79	0.34	0.54	0.83	0.91	0.85
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	297107	0.79	0.27	0.48	0.65	0.59	0.67
KN805793.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805793.1:1:424882:1 REF	352652	1.00	0.81	1.00	0.64	0.96	0.27
KN805793.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805793.1:1:424882:1 REF	352656	0.55	0.50	0.48	0.62	0.21	0.25
KN805793.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805793.1:1:424882:1 REF	352663	1.00	0.71	0.95	0.69	0.96	0.23
KN805795.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805795.1:1:486535:1 REF	416180	0.62	0.30	0.51	0.52	0.44	0.53
KN805795.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805795.1:1:486535:1 REF	416190	0.72	0.20	0.72	0.60	0.58	0.53
KN805796.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805796.1:1:468900:1 REF	377712	0.68	0.97	0.95	0.97	0.97	0.98
KN805796.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805796.1:1:468900:1 REF	377718	0.90	0.98	0.89	0.72	0.89	0.92
KN805798.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805798.1:1:474997:1 REF	232317	0.96	0.59	1.00	0.85	0.97	0.72
KN805798.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805798.1:1:474997:1 REF	232349	0.93	0.86	0.98	0.86	0.88	0.45
KN805798.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805798.1:1:474997:1 REF	232351	0.96	0.71	1.00	0.78	0.91	0.83
KN805798.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805798.1:1:474997:1 REF	232356	0.96	1.00	1.00	1.00	0.97	0.73
KN805800.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805800.1:1:534009:1 REF	295889	0.92	0.15	1.00	0.25	0.29	1.00
KN805801.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805801.1:1:476511:1 REF	13963	0.91	0.12	1.00	0.96	0.61	0.88
KN805801.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805801.1:1:476511:1 REF	104784	0.62	0.30	0.51	0.55	0.44	0.53
KN805801.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805801.1:1:476511:1 REF	104794	0.72	0.20	0.72	0.62	0.58	0.53
KN805802.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805802.1:1:384788:1 REF	153946	0.73	0.50	0.55	0.56	0.70	0.64
KN805802.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805802.1:1:384788:1 REF	153993	0.86	0.44	0.58	0.61	0.70	0.64
KN805802.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805802.1:1:384788:1 REF	365537	0.29	0.56	0.79	0.54	0.62	0.60
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	139186	1.00	0.97	0.95	0.77	0.93	0.87
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	139188	1.00	0.97	0.95	1.00	0.93	0.97
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	149498	0.61	1.00	1.00	1.00	0.42	1.00
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202789	0.78	0.84	0.68	0.91	0.98	0.79
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202796	0.56	0.47	0.57	0.50	0.75	0.44
KN805807.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805807.1:1:376875:1 REF	268892	0.81	1.00	0.23	0.95	0.65	0.80
KN805809.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805809.1:1:430174:1 REF	251151	0.70	0.19	0.91	0.67	0.17	0.19
KN805810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805810.1:1:425609:1 REF	406757	0.73	0.73	0.82	0.88	0.27	0.87
KN805810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805810.1:1:425609:1 REF	407462	0.57	0.75	0.83	0.50	0.67	0.70
KN805811.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805811.1:1:412191:1 REF	182570	0.42	0.97	0.46	0.81	0.81	0.90
KN805812.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805812.1:1:370439:1 REF	171345	0.72	0.53	0.38	0.52	0.58	0.78
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135667	0.67	0.73	0.96	0.57	0.72	0.82
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135717	0.86	0.64	0.91	0.52	0.86	0.91
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135749	0.84	0.73	1.00	0.54	0.93	0.72
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135751	0.88	1.00	1.00	0.83	0.95	0.97
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135756	0.95	0.73	0.77	0.93	0.95	0.97
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	135762	0.95	1.00	1.00	0.97	0.98	0.99
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157881	0.76	1.00	0.92	0.91	0.90	0.93
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157887	0.75	0.93	0.83	0.50	0.88	0.88
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157888	0.76	1.00	0.92	1.00	0.81	0.80
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	425053	0.89	0.90	0.74	0.93	0.99	0.90
KN805819.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805819.1:1:405040:1 REF	86179	0.95	1.00	1.00	0.97	0.95	0.90
KN805819.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805819.1:1:405040:1 REF	86186	0.64	1.00	1.00	0.99	0.79	0.75
KN805819.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805819.1:1:405040:1 REF	86200	0.73	1.00	1.00	0.99	1.00	0.90
KN805820.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805820.1:1:393594:1 REF	318141	0.90	0.98	1.00	0.78	0.79	0.88
