chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	HY_5-S3	HY_5-S4	HY_5-S2	HY_5-S1
KN811289.1	4296839	0.95	0.90	0.94	0.75	0.72	0.88	0.95	0.98
KN811289.1	4296859	0.92	0.90	0.93	0.60	0.80	0.95	0.95	0.93
KN811289.1	4296869	0.78	0.60	0.52	0.30	0.76	0.73	0.95	0.90
KN811291.1	990909	0.27	0.27	0.31	0.44	0.62	0.14	0.16	0.31
KN811291.1	990923	0.35	0.41	0.75	0.20	0.81	0.86	0.69	0.31
KN811291.1	1225248	0.82	0.48	0.84	0.56	0.77	0.96	0.83	1.00
KN811291.1	1225254	0.91	0.56	0.77	0.56	0.87	1.00	0.92	1.00
KN811292.1	1653879	0.27	0.26	0.26	0.12	0.27	0.26	0.10	0.32
KN811298.1	1744169	0.56	0.51	0.70	0.20	0.55	0.71	0.60	0.34
KN811299.1	2418889	0.96	0.10	0.92	0.19	0.84	1.00	0.38	0.74
KN811299.1	2418895	0.84	0.78	0.90	0.19	0.89	0.91	0.38	0.96
KN811299.1	2418900	0.84	0.74	0.96	0.19	0.95	0.64	0.31	0.96
KN811299.1	2418902	0.84	0.74	0.75	0.19	1.00	0.73	0.36	0.87
KN811299.1	2419046	0.89	0.87	0.67	0.33	0.81	0.79	0.83	0.76
KN811303.1	273169	0.85	0.90	0.87	1.00	0.79	0.82	0.90	0.80
KN811303.1	273171	0.94	0.92	0.95	1.00	0.85	0.90	0.90	0.91
KN811303.1	273176	0.95	0.94	0.98	1.00	0.94	0.92	0.80	0.91
KN811303.1	273182	0.93	0.94	0.88	1.00	0.88	0.97	0.90	0.91
KN811303.1	1857482	0.19	0.39	0.14	0.12	0.50	0.43	0.50	0.33
KN811304.1	750738	0.91	0.98	0.93	0.30	0.94	0.95	0.90	0.95
KN811304.1	2709045	0.92	0.85	0.77	0.52	0.85	0.97	0.80	0.91
KN811309.1	230561	0.96	1.00	0.99	0.96	0.98	0.93	0.96	0.99
KN811314.1	1577812	0.97	0.92	0.85	0.95	0.98	0.95	0.97	1.00
KN811317.1	373175	0.19	0.70	0.41	0.47	0.73	0.62	0.61	0.60
KN811317.1	2581700	0.81	0.62	0.75	0.52	0.54	0.79	0.80	0.79
KN811317.1	2581720	0.74	0.61	0.75	0.48	0.52	0.77	0.83	0.46
KN811319.1	1085127	0.79	0.46	1.00	1.00	0.40	0.88	1.00	1.00
KN811320.1	1898999	1.00	1.00	0.97	1.00	0.85	0.88	0.77	0.88
KN811321.1	457636	0.92	0.92	1.00	1.00	0.92	0.92	0.89	1.00
KN811321.1	1842639	0.95	0.94	0.95	0.60	0.95	0.88	0.97	1.00
KN811321.1	1842659	0.94	0.81	0.97	0.50	0.89	0.93	0.92	1.00
KN811322.1	1049366	0.47	0.22	0.57	0.65	0.17	0.47	0.32	0.14
KN811322.1	2230166	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00
KN811322.1	2230175	1.00	0.97	0.97	0.38	1.00	0.98	0.95	1.00
KN811322.1	2230193	0.82	0.95	0.84	0.38	0.86	0.90	0.91	1.00
KN811324.1	1404845	1.00	0.86	0.98	0.84	0.95	0.96	1.00	1.00
KN811324.1	1404847	0.38	0.87	0.56	0.90	0.96	0.71	1.00	1.00
KN811326.1	1193440	0.97	0.92	0.85	0.95	1.00	0.96	0.99	0.77
KN811327.1	737270	0.61	0.71	0.49	0.42	0.74	0.67	0.19	0.86
KN811330.1	2282384	0.41	0.43	0.60	0.12	0.46	0.55	0.43	0.50
KN811335.1	552349	0.39	0.54	0.40	0.33	0.23	0.29	0.28	0.27
KN811335.1	552364	0.46	0.55	0.43	0.16	0.27	0.32	0.28	0.17
KN811336.1	182541	0.28	0.23	0.23	0.34	0.20	0.46	0.40	0.22
KN811336.1	182573	0.67	0.44	0.56	0.38	0.51	0.62	0.58	0.51
KN811336.1	182575	0.71	0.63	0.68	0.50	0.41	0.66	0.49	0.62
KN811336.1	182580	0.61	0.57	0.65	0.50	0.54	0.65	0.56	0.61
KN811336.1	182586	0.63	0.57	0.72	0.88	0.46	0.70	0.52	0.61
KN811336.1	182715	0.28	0.22	0.23	0.34	0.19	0.45	0.40	0.23
KN811336.1	182747	0.80	0.63	0.68	0.55	0.65	0.72	0.81	0.59
KN811336.1	182749	0.51	0.42	0.46	0.44	0.26	0.52	0.32	0.41
KN811340.1	2022128	0.90	0.83	0.85	0.79	0.83	0.90	0.87	0.88
KN811340.1	2022131	0.90	0.86	0.93	0.86	0.86	0.85	0.90	0.81
KN811340.1	2057957	0.87	0.92	0.93	0.47	0.98	0.93	0.91	0.62
KN811340.1	2057989	0.90	0.92	0.90	0.74	0.67	0.91	0.98	0.80
KN811340.1	2057991	0.80	0.98	1.00	0.79	0.71	0.78	0.98	0.93
KN811340.1	2057996	0.94	0.90	0.94	0.68	0.68	0.95	0.98	0.79
KN811340.1	2058002	0.98	0.98	0.94	0.72	0.71	0.99	0.91	0.95
KN811341.1	35865	0.68	0.84	0.73	1.00	0.29	0.85	0.81	1.00
KN811341.1	35903	1.00	0.94	0.98	1.00	0.36	0.86	0.91	1.00
KN811341.1	135193	0.29	0.29	0.31	0.50	0.16	0.35	0.14	0.25
KN811341.1	1855800	0.97	0.76	0.93	0.89	0.96	0.66	0.93	0.90
KN811342.1	1406663	0.93	0.51	0.86	1.00	0.79	0.43	0.82	0.90
KN811342.1	1406684	0.88	0.89	0.82	0.91	0.92	0.93	0.82	1.00
KN811342.1	1406690	0.95	0.89	0.95	0.91	1.00	1.00	0.91	0.95
KN811345.1	704965	0.96	0.90	0.85	0.95	1.00	0.96	0.97	1.00
KN811345.1	1963215	0.25	0.25	0.57	0.29	0.33	0.56	0.59	0.13
KN811346.1	1460104	0.78	0.89	0.88	1.00	0.95	0.54	0.71	0.87
KN811346.1	1460109	0.92	0.94	0.92	1.00	0.84	0.97	0.84	0.53
KN811346.1	1460111	0.85	0.67	0.87	1.00	0.73	0.67	0.61	0.90
KN811347.1	1024762	0.93	0.94	0.97	0.91	0.95	0.90	0.90	0.97
KN811351.1	917616	0.38	0.53	0.69	0.12	0.31	0.60	0.33	0.50
KN811352.1	1211668	0.16	0.47	0.28	0.58	0.53	0.41	0.79	0.58
KN811354.1	1361932	0.67	0.68	0.62	0.20	0.65	0.71	0.60	0.62
KN811354.1	1361939	0.77	0.76	0.62	0.50	0.73	0.71	0.60	0.83
KN811355.1	1041468	0.94	0.95	0.92	0.63	0.96	0.96	0.91	0.86
KN811356.1	1617442	0.81	0.87	0.79	0.56	0.81	0.96	0.81	1.00
KN811356.1	1617448	0.90	0.95	0.68	0.56	0.89	1.00	0.91	1.00
KN811356.1	1617467	0.71	0.87	0.79	0.56	0.78	0.87	1.00	1.00
KN811356.1	1617481	0.58	0.65	0.72	0.56	0.79	0.70	0.81	1.00
KN811356.1	1673857	0.86	0.60	0.77	0.33	0.64	0.72	0.56	0.67
KN811359.1	1838297	0.38	0.54	0.40	0.33	0.23	0.28	0.28	0.28
KN811362.1	853967	0.73	0.82	0.44	0.35	0.79	0.64	0.66	0.62
KN811366.1	1182416	0.83	0.65	0.73	0.33	0.65	0.66	0.59	0.71
KN811374.1	1316046	0.16	0.27	0.10	0.10	0.11	0.12	0.15	0.12
KN811374.1	1415775	0.94	0.98	0.96	0.90	0.93	0.96	0.65	0.44
KN811374.1	1415780	0.69	0.44	0.94	0.90	0.93	0.96	0.15	0.62
KN811374.1	1859479	0.65	0.96	0.88	1.00	1.00	0.84	1.00	0.76
KN811374.1	1859508	0.76	0.58	0.90	1.00	0.67	0.57	0.60	0.57
KN811375.1	587201	0.96	1.00	1.00	1.00	0.96	0.94	0.98	0.98
KN811377.1	199114	0.38	0.14	0.73	0.19	1.00	0.74	0.43	0.27
KN811378.1	749428	0.32	0.11	0.25	0.36	0.42	0.32	0.12	0.23
KN811380.1	192073	0.69	0.31	0.39	0.96	0.19	0.35	0.42	0.44
KN811380.1	438444	0.88	0.91	0.95	0.73	0.93	0.92	0.98	0.92
KN811380.1	1738600	0.13	0.15	0.22	0.28	0.29	0.17	0.39	0.24
KN811384.1	1003860	0.38	0.43	0.37	0.14	0.21	0.27	0.70	0.35
KN811388.1	1548206	0.17	0.21	0.17	0.16	0.18	0.16	0.17	0.21
KN811389.1	749597	0.82	0.82	0.88	0.93	0.71	0.81	0.77	0.82
KN811395.1	1619247	0.38	0.44	0.28	0.92	0.93	0.80	0.93	1.00
KN811397.1	1397104	0.11	0.33	0.31	0.12	0.49	0.21	0.12	0.21
KN811406.1	463820	0.85	0.84	0.86	0.18	0.75	0.53	0.92	0.45
KN811406.1	578307	0.73	0.76	0.77	0.59	0.77	0.86	0.68	0.83
KN811406.1	578343	0.70	0.62	0.76	0.67	0.60	0.55	0.45	0.91
KN811406.1	578350	0.48	0.56	0.67	0.33	0.48	0.59	0.40	0.82
KN811406.1	578354	0.78	0.58	0.69	0.67	0.60	0.59	0.57	0.59
KN811406.1	1814525	0.90	0.89	0.86	1.00	0.85	0.92	0.96	0.84
KN811406.1	4022821	0.24	0.48	0.45	0.34	0.32	0.25	0.36	0.27
KN811407.1	1392048	0.84	0.85	0.94	0.81	0.98	0.59	1.00	0.91
KN811407.1	1392054	0.63	0.47	0.92	0.88	0.84	0.70	1.00	0.75
KN811407.1	1392075	0.67	0.93	0.61	0.80	0.82	0.81	0.81	0.79
KN811408.1	592431	0.97	1.00	0.88	0.73	0.74	0.95	0.90	1.00
KN811408.1	592451	0.90	1.00	0.88	1.00	0.79	0.85	0.80	1.00
KN811408.1	592461	0.79	1.00	0.67	0.73	0.78	0.79	0.82	1.00
KN811409.1	810708	0.70	0.16	0.19	0.88	0.52	0.61	0.21	0.94
KN811409.1	1591922	0.66	0.57	0.72	0.90	0.46	0.76	0.47	0.65
KN811414.1	402404	0.93	0.62	0.47	0.50	0.59	0.92	0.52	0.96
KN811418.1	352787	0.68	0.64	0.71	1.00	0.87	0.56	0.89	0.88
KN811418.1	352795	0.84	0.66	0.80	1.00	0.83	0.74	0.80	0.94
KN811418.1	815543	0.27	0.52	0.13	0.40	0.44	0.36	0.57	0.44
KN811419.1	1022543	0.84	0.91	0.88	0.91	0.94	0.49	0.54	0.71
KN811423.1	1436678	0.60	0.26	0.32	0.17	0.66	0.69	0.19	0.55
KN811423.1	1436691	0.76	0.44	0.59	0.39	1.00	0.85	0.47	0.55
KN811423.1	1436693	0.50	0.33	0.45	0.39	0.79	0.76	0.43	0.67
KN811423.1	1436707	0.69	0.56	0.82	0.17	1.00	0.90	0.52	0.67
KN811426.1	1160561	0.72	0.69	0.76	0.71	0.80	0.78	0.78	0.74
KN811429.1	1606847	0.27	0.42	0.20	0.31	0.36	0.72	0.17	0.37
KN811430.1	1282421	0.90	0.92	0.83	0.61	0.84	0.91	0.83	0.65
KN811443.1	280888	0.98	0.97	0.98	0.88	0.97	1.00	0.87	1.00
KN811446.1	89030	0.21	0.53	0.85	0.23	1.00	0.57	0.90	0.11
KN811447.1	1380062	0.91	0.96	0.91	0.64	0.95	0.89	0.94	1.00
KN811447.1	1380082	0.89	0.92	0.91	0.57	0.90	0.86	0.83	1.00
KN811447.1	1380092	0.92	0.55	0.88	0.29	0.90	0.90	0.50	1.00
KN811448.1	479637	0.91	0.56	0.75	0.57	0.86	1.00	0.90	1.00
KN811448.1	479643	0.80	0.52	0.83	0.57	0.79	0.96	0.81	1.00
KN811448.1	1758998	0.97	0.92	0.88	0.95	1.00	0.89	0.99	1.00
KN811450.1	1517515	0.45	0.56	0.48	0.94	0.46	0.43	0.78	0.58
KN811454.1	502347	0.97	1.00	0.28	0.96	1.00	0.93	1.00	1.00
KN811454.1	506275	0.97	1.00	1.00	0.96	1.00	1.00	1.00	1.00
KN811463.1	658089	0.50	0.17	0.29	0.57	0.32	0.26	0.37	0.57
KN811468.1	601010	0.90	0.82	0.85	0.79	0.83	0.89	0.87	0.88
KN811468.1	601013	0.90	0.86	0.93	0.86	0.86	0.85	0.90	0.81
KN811470.1	561003	0.95	0.93	0.78	0.67	0.82	0.91	0.95	0.92
KN811470.1	561631	0.94	0.94	0.90	1.00	0.95	0.95	0.84	1.00
KN811470.1	1006676	0.47	0.25	0.52	0.30	0.61	0.41	0.39	0.36
KN811472.1	85232	0.93	0.88	0.90	0.73	0.83	0.85	0.77	0.90
KN811472.1	85252	0.93	0.88	0.92	0.83	0.95	0.84	0.85	0.85
KN811478.1	768562	0.54	0.71	0.54	0.32	0.55	0.32	0.50	0.58
KN811480.1	1051339	0.76	0.67	0.88	0.14	0.97	0.78	0.70	0.98
KN811480.1	1051341	0.87	0.90	0.93	0.14	0.97	0.65	0.74	0.85
KN811480.1	1051346	0.74	0.78	0.84	0.14	0.83	0.82	0.74	0.93
KN811480.1	1051352	0.97	0.96	0.81	0.14	1.00	0.86	0.77	0.98
KN811481.1	1002910	0.61	0.27	0.31	0.15	0.84	0.70	0.64	0.56
KN811481.1	1002923	0.77	0.45	0.62	0.38	1.00	0.82	0.78	0.58
KN811481.1	1002925	0.55	0.36	0.50	0.38	0.91	0.77	0.77	0.71
KN811481.1	1002939	0.71	0.53	0.81	0.17	1.00	0.90	0.80	0.71
KN811482.1	1140568	0.92	0.90	0.89	1.00	0.91	0.96	0.97	1.00
KN811482.1	1140571	0.91	0.85	0.93	0.91	0.94	0.87	0.94	0.86
KN811482.1	1140584	0.94	0.95	0.94	0.64	0.99	0.96	0.97	0.79
KN811485.1	159508	1.00	0.49	0.96	1.00	1.00	0.84	0.27	1.00
KN811485.1	159560	0.70	1.00	0.97	1.00	1.00	1.00	1.00	1.00
KN811485.1	159566	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811485.1	159573	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811487.1	560220	0.77	0.45	1.00	1.00	1.00	0.97	1.00	0.90
KN811508.1	718393	0.89	0.89	0.93	0.77	0.94	0.86	1.00	0.83
KN811508.1	718413	0.91	0.89	0.91	0.91	0.82	0.89	0.85	0.90
KN811514.1	468913	0.70	0.67	0.48	0.46	0.81	0.85	0.24	0.80
KN811520.1	119321	0.97	0.62	0.92	0.25	0.92	0.87	0.94	0.86
KN811520.1	119335	0.97	0.28	0.84	0.25	0.69	0.79	0.61	0.54
KN811525.1	734596	0.97	0.92	0.85	0.95	1.00	0.94	0.99	1.00
KN811526.1	520550	0.31	0.71	0.15	0.85	0.35	0.85	0.69	0.30
KN811526.1	521782	0.33	0.30	0.50	0.38	0.61	0.74	0.17	0.38
KN811532.1	214834	0.46	0.33	0.36	0.77	0.56	0.29	0.54	0.45
KN811534.1	92174	0.27	0.31	0.25	0.31	0.31	0.59	0.22	0.23
KN811541.1	221257	0.91	0.81	0.94	0.42	1.00	0.64	0.94	0.88
KN811542.1	87350	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811542.1	87356	1.00	0.96	0.98	1.00	1.00	1.00	0.13	0.96
KN811542.1	87383	1.00	1.00	0.97	1.00	1.00	0.33	0.98	1.00
KN811545.1	670383	0.97	0.93	0.92	0.95	1.00	0.96	0.97	1.00
KN811547.1	735955	0.28	0.28	0.39	0.29	0.45	0.28	0.31	0.38
KN811547.1	3877620	0.58	0.43	0.67	0.21	0.61	0.66	0.64	0.33
KN811558.1	68158	0.74	0.75	0.73	0.37	0.70	0.85	0.58	0.79
KN811558.1	316990	0.87	1.00	0.91	1.00	0.91	1.00	0.83	1.00
KN811558.1	316995	0.77	0.93	0.47	0.91	0.81	0.85	0.93	0.86
KN811559.1	758885	0.92	0.98	0.91	0.40	0.93	1.00	0.82	0.59
KN811561.1	256586	0.73	0.58	0.74	0.45	0.65	0.68	0.62	0.77
KN811561.1	256594	0.87	0.71	0.82	0.45	0.68	0.79	0.62	0.74
KN811561.1	256636	0.89	0.74	0.66	0.77	0.65	0.86	0.82	0.85
KN811561.1	256643	0.80	0.54	0.78	0.77	0.54	0.71	0.44	0.73
KN811570.1	243355	0.97	0.92	0.85	0.95	1.00	0.96	0.99	1.00
KN811572.1	877944	0.47	0.50	0.31	0.18	0.39	0.57	0.66	0.15
KN811576.1	930867	0.84	0.40	0.89	0.90	0.88	0.88	0.84	0.95
KN811576.1	930872	0.95	0.58	0.94	0.90	0.93	0.91	0.84	0.97
KN811576.1	930874	0.78	0.86	0.54	0.90	0.81	0.88	0.71	0.92
KN811577.1	264558	0.83	0.73	0.69	0.47	0.74	0.73	0.50	0.87
KN811577.1	264573	0.61	0.59	0.67	0.79	0.65	0.55	0.33	0.55
KN811601.1	301001	0.88	0.77	0.82	0.55	0.77	0.78	0.71	0.98
KN811601.1	319643	0.80	0.67	0.90	0.69	0.93	0.88	0.68	0.52
KN811601.1	572391	0.97	0.80	0.85	1.00	0.41	0.88	0.92	0.97
KN811601.1	572396	0.97	0.78	0.90	0.92	0.98	0.85	0.86	1.00
KN811603.1	394761	0.31	0.14	0.13	0.18	0.55	0.10	0.14	0.10
KN811603.1	648210	0.33	0.14	0.15	0.21	0.66	0.12	0.14	0.12
KN811604.1	180175	0.68	0.69	0.73	0.45	0.57	0.77	0.84	0.80
KN811604.1	628716	0.90	0.74	0.88	1.00	0.92	0.90	0.84	0.86
KN811604.1	628724	0.82	0.90	0.88	0.89	0.81	0.83	0.82	1.00
